"Player","Pos","Squad","id","Age","Season","RATING","Sh/90","np:G-xG","Dist","xG","npxG/Sh","Cmp%","PrgDist","A-xAG","PrgP","Crs","SCA90","PassLive","TO","GCA90","Tkl%","Blocks","Tkl+Int","Err","Def Pen","Att Pen","Succ%","44986","PrgR","Min%","Compl","onG","onGA","xG+/-90","CrdY","CrdR","Fls","Recov","Won%","def","mid","forw","Age^2"
"Adama Soumaoro","defender","Lille","7b075c75","25","2017","74","0.08","-0.1","9.2","0.1","0.09","92.2","3311","-0.1","17","0","0.3","3","0","0","66.7","1","25","1","93","6","100","1","0","34.9","11","15","26","-0.66","2","0","7","80","67.9","1","0","0","625"
"Ademola Lookman","midfielder","RB Leipzig","7c104bb7","19","2017","72","2.04","1.9","14.1","3.1","0.24","74.6","758","0.5","23","10","5.33","22","5","1.1","0","13","7","0","5","21","42.9","18","42","18.8","2","15","10","-0.08","1","0","12","33","16.7","0","1","0","361"
"Admir Mehmedi","forward","Leverkusen","b500b384","26","2017","77","1.67","1.1","16.9","0.9","0.07","77.9","2120","1.1","43","37","4.37","26","0","0.51","30.8","11","33","0","6","26","16.7","11","65","22.9","4","16","15","0.23","3","0","21","36","56","0","0","1","676"
"Adnan Januzaj","forward","Real Sociedad","4737cebe","22","2017","78","3.43","-3.3","18.7","6.3","0.12","73.7","2055","-0.5","68","59","5.1","46","21","0.63","27.8","20","27","0","7","95","53.6","51","156","46","2","29","27","0.3","4","0","32","74","26.3","0","0","1","484"
"Adrien Tameze","midfielder","Nice","8da74c05","23","2017","73","0.37","-0.3","21.3","0.3","0.04","91","4487","0.1","86","3","1.39","22","1","0.16","55.3","19","99","1","52","13","78.3","19","23","49.2","11","26","19","-0.06","3","0","25","117","51.2","0","1","0","529"
"Adrien Thomasson","midfielder","Nantes","c76b7567","23","2017","74","2.02","0.8","17.5","4.2","0.07","74.7","3726","-0.2","128","55","3.11","70","4","0.28","30.1","40","89","0","21","81","60","42","206","75.4","13","27","33","0.06","4","0","28","203","27.7","0","1","0","529"
"Ainsley Maitland-Niles","forward","Arsenal","e3a5814e","19","2017","71","0.49","-0.2","20.9","0.2","0.05","82.8","2475","-0.9","35","20","1.77","14","4","0","45.2","18","37","2","36","19","80","18","58","26.7","8","17","16","0","1","0","10","73","30","0","0","1","361"
"Alberto Grassi","midfielder","SPAL","6cc97b6a","22","2017","75","1.48","0.1","18.3","2.9","0.08","82.2","2473","-0.7","76","11","1.64","26","1","0.16","45.7","11","91","0","54","36","43.3","30","43","65.9","17","30","35","-0.43","3","0","27","128","54.5","0","1","0","484"
"Albin Ekdal","midfielder","Hamburger SV","f503ea63","28","2017","76","0.65","-0.5","15.1","0.5","0.06","75.9","2581","0","67","0","1.87","19","0","0.16","62.1","20","60","0","30","16","43.8","14","20","36.2","3","12","16","-0.22","3","0","14","65","48.3","0","1","0","784"
"Alessandro Bastoni","defender","Atalanta","75b86fb3","18","2017","67","0.99","0","11","0","0.03","81.4","262","-0.1","6","0","3","2","1","0","100","4","3","0","2","5","66.7","0","12","2.7","0","0","1","0.68","0","0","2","6","0","1","0","0","324"
"Alessandro Florenzi","defender","Roma","e288d4b3","26","2017","82","1.43","-2.1","19.5","3.8","0.08","76.5","9186","-1.6","177","144","3.06","68","4","0.34","38.3","43","82","1","69","69","52.9","69","174","69.8","20","45","19","0.74","2","0","15","165","33.3","1","0","0","676"
"Alessandro SchГ¶pf","midfielder","Schalke 04","106bca06","23","2017","77","1","-0.4","24.4","0.4","0.04","75","1716","-0.5","38","19","1.67","12","1","0.11","47.8","16","37","1","16","13","36.1","31","46","26.4","5","11","9","0.07","3","0","26","71","38.1","0","1","0","529"
"Alessio Romagnoli","defender","Milan","3ead85f9","22","2017","82","0.38","0.9","14.5","1.1","0.12","90.9","9911","-0.3","81","5","0.99","22","1","0.11","64.3","11","43","1","157","15","100","3","6","68.8","23","39","25","0.46","8","2","31","96","65.7","1","0","0","484"
"Alex Ferrari","defender","Hellas Verona","d0dbca9f","23","2017","70","0.34","0.2","21.8","0.8","0.1","74","5760","-0.2","61","18","0.97","13","4","0.17","53.7","34","120","4","142","10","57.6","24","32","62.5","22","19","47","-1.04","5","0","19","115","55.9","1","0","0","529"
"Alex Iwobi","midfielder","Arsenal","6ca5ec4b","21","2017","76","2.21","-0.9","18.4","3.9","0.09","85.1","3786","1.5","138","20","4.03","70","5","0.59","27.8","27","26","1","16","80","69.2","80","146","53.5","5","36","26","0.5","1","0","11","110","17.6","0","1","0","441"
"Alex Oxlade-Chamberlain","midfielder","Liverpool","38c7feef","23","2017","80","2.29","0.8","21.1","2.2","0.06","76.5","3186","3.2","120","70","4.46","54","9","0.9","28.6","12","52","0","13","46","74.1","54","122","43.7","5","42","20","0.95","3","0","16","91","27","0","1","0","529"
"Alex Sandro","defender","Juventus","0d82903c","26","2017","86","0.77","2.4","15.9","1.6","0.09","83.4","6951","0.2","136","90","2.89","58","3","0.43","51.3","36","87","0","58","43","74.6","73","168","61.9","21","63","15","0.87","8","0","51","144","61.3","1","0","0","676"
"Alexander Djiku","defender","Caen","43e7a164","22","2017","76","0.64","-1.6","13.2","1.6","0.09","80.3","8596","-0.1","123","5","0.61","11","0","0","48.1","2","122","2","117","22","85.7","7","3","73.7","28","20","33","-0.05","10","0","43","187","62.8","1","0","0","484"
"Alexander Hack","defender","Mainz 05","a5ec3ede","23","2017","74","0.84","0.3","18","0.7","0.06","76.2","5077","-0.3","58","4","0.63","7","0","0","64.9","11","72","2","114","19","71.4","7","4","42.1","13","18","21","-0.28","2","0","10","60","69.9","1","0","0","529"
"Alexandre Lacazette","forward","Arsenal","9dbb75ca","26","2017","85","2.7","-0.1","13.6","13.7","0.18","75","1185","-0.4","59","16","3.88","59","13","0.53","14.8","21","31","0","8","173","73.3","12","233","64.4","10","51","28","0.8","1","0","28","53","32.6","0","0","1","676"
"Alexis SГЎnchez","midfielder","Arsenal","2c0f8e9e","28","2017","87","4.07","-1.3","19.9","8.1","0.11","69.4","3348","-1.9","149","54","7.31","78","14","0.84","21.9","31","26","0","9","104","66.7","53","218","43.9","11","31","21","0.6","4","0","21","48","36.8","0","1","0","784"
"Alfred Duncan","midfielder","Sassuolo","528492ea","24","2017","75","1.85","-2","23.1","2","0.05","69.2","3957","-0.4","125","74","3","53","4","0.18","28.8","43","58","1","40","40","66.7","29","105","56.9","12","14","30","0.09","4","0","40","144","37.8","0","1","0","576"
"Allan Saint-Maximin","forward","Nice","2b16cb1a","20","2017","79","1.56","-0.9","17.4","3.9","0.1","73.4","2368","2.1","85","70","3.81","70","16","0.56","42.9","38","29","0","8","121","64.7","83","272","65.7","6","43","33","0.24","1","0","9","110","40","0","0","1","400"
"Almamy TourГ©","defender","Monaco","c8c60119","21","2017","74","0.5","0.6","15.8","0.4","0.06","70.6","3894","2.4","62","46","2.31","27","3","0.65","60","20","73","0","53","16","68.4","25","76","36.5","12","24","21","-0.35","3","0","28","82","59.3","1","0","0","441"
"Amadou Diawara","midfielder","Napoli","bf309d24","20","2017","77","0.82","0.8","28","0.2","0.03","92.2","2341","-0.2","51","5","2.06","13","0","0.41","14.3","3","20","0","11","1","100","7","0","19.2","5","19","8","1.14","1","0","12","65","33.3","0","1","0","400"
"Ambroise Oyongo","defender","Montpellier","e3e05edf","26","2017","73","0.45","0","30.6","0","0.04","67.6","466","-0.1","7","14","2.24","5","0","0","0","6","8","0","3","2","75","7","12","5.9","1","2","2","-0.2","0","0","1","7","25","1","0","0","676"
"Amine Harit","midfielder","Schalke 04","e7d59f4f","20","2017","78","1.06","-0.8","20.2","3.6","0.12","81.9","2143","-1.4","95","26","4.31","66","13","0.66","35.1","15","58","0","7","54","44.9","79","153","66.8","8","35","24","0.23","3","0","19","135","41.4","0","1","0","400"
"Anastasios Donis","midfielder","Stuttgart","0f26fd24","20","2017","73","3.6","-2.4","20.8","4.4","0.12","64.4","438","-0.2","13","41","3.22","15","11","0.76","75","13","29","0","7","36","51.3","37","50","31","3","10","12","-0.27","1","0","18","40","36","0","1","0","400"
"Ander Herrera","midfielder","Manchester Utd","436a9dd0","27","2017","82","0.85","-0.4","25.2","0.4","0.03","86.2","3978","0.4","81","15","1.99","26","0","0.21","29","6","90","2","50","14","71.4","19","19","37.1","7","20","14","-0.25","5","0","28","104","47.4","0","1","0","729"
"Andrea Conti","defender","Milan","8fef5412","23","2017","75","0.57","0","12.7","0","0.05","88.7","634","-0.1","18","3","2.29","3","0","0.57","66.7","3","5","0","6","3","100","0","12","4.6","1","5","1","1.12","0","0","4","9","100","1","0","0","529"
"Andrea Petagna","forward","Atalanta","03f946ed","22","2017","75","2.39","-0.7","13","4.7","0.11","72.4","947","0.9","45","20","3.4","46","5","0.61","9.1","26","12","0","5","137","53.8","24","184","47.3","1","30","18","0.41","6","0","25","61","50","0","0","1","484"
"Andrea Ranocchia","defender","Inter","539230cf","29","2017","76","1","1.2","8.6","0.8","0.11","89.8","2095","0","19","1","0.43","2","0","0","50","0","20","0","40","9","100","1","3","18.3","5","15","4","0.48","4","0","8","38","83.3","1","0","0","841"
"Andreas Christensen","defender","Chelsea","1cb49278","21","2017","82","0.52","-0.9","10.9","0.9","0.07","93.1","8441","-0.1","76","0","0.74","14","0","0.09","66.7","6","65","5","150","22","100","12","2","61","18","37","23","0.65","0","0","8","139","67.9","1","0","0","441"
"Andrei Girotto","midfielder","Nantes","3befc2b6","25","2017","70","1.84","-0.4","25","1.4","0.04","75.2","2688","0.4","78","8","2.43","28","4","0.24","40.4","18","72","1","44","27","60","21","17","44.4","10","17","14","0.24","8","0","33","96","58.2","0","1","0","625"
"Andrej KramariД‡","forward","Hoffenheim","603cb947","26","2017","83","3.27","2.9","19.9","9.6","0.11","72.7","3377","0","114","139","3.96","63","5","0.48","37.5","29","14","0","4","106","37.7","48","188","72.8","16","50","38","0.08","1","0","10","65","25","0","0","1","676"
"Andrew Robertson","defender","Liverpool","2e4f5f03","23","2017","83","0.56","0.5","19.3","0.5","0.05","83.5","6855","0.9","150","88","2.41","47","1","0.37","51.7","42","57","0","60","46","52.9","50","214","56.7","19","53","18","1.27","2","0","15","140","62.5","1","0","0","529"
"Andriy Yarmolenko","forward","Dortmund","849c826a","27","2017","80","2.69","-1.8","15.8","4.8","0.15","73","1259","-0.2","42","46","4.86","40","3","0.52","43.8","9","24","0","8","66","36.4","25","114","34","4","22","18","0.96","0","0","19","42","40.9","0","0","1","729"
"Andros Townsend","forward","Crystal Palace","b28bbd58","26","2017","78","1.79","-1","22.3","3","0.05","71","3886","-0.2","104","176","3.98","80","16","0.32","32","49","95","0","29","88","68.9","108","249","91.2","26","39","48","0.15","3","0","10","182","18.8","0","0","1","676"
"AndrГ© Hahn","forward","Hamburger SV","cd82452e","26","2017","73","2.78","-0.5","17","3.5","0.08","50.5","856","-0.9","24","38","1.66","16","1","0.13","31.3","31","43","0","26","56","12.9","11","96","44.4","11","8","25","-0.59","0","0","38","43","45.2","0","0","1","676"
"AndrГ©s Guardado","midfielder","Betis","ef322658","30","2017","82","1.27","-0.7","27.2","2.5","0.05","83.7","5943","2.8","159","90","3.1","61","2","0.44","27.3","30","63","1","42","21","66.7","35","77","66.2","20","47","42","-0.02","7","0","31","166","48.6","0","1","0","900"
"Andy Delort","forward","Toulouse","d33c706e","25","2017","75","2.62","-3.4","19","9","0.11","56.1","1841","-0.1","62","112","3.16","50","6","0.27","21.1","38","32","0","17","103","46.3","23","240","68.2","16","29","36","-0.04","5","0","70","60","49.5","0","0","1","625"
"Angelo Fulgini","midfielder","Angers","4b96c347","20","2017","74","2.18","-0.1","20.6","3.1","0.08","73.4","2729","1.1","74","57","3.53","35","3","0.35","29.6","23","41","0","13","45","65","38","116","44.7","3","19","28","0.01","4","0","19","102","20.9","0","1","0","400"
"Angelo Ogbonna","defender","West Ham","74b2cd7e","29","2017","78","0.25","0.3","13.1","0.7","0.08","79.4","6402","-0.5","44","2","0.56","12","1","0","44.4","10","88","1","215","16","81.8","6","4","84.2","32","43","60","-0.55","3","0","15","135","52.7","1","0","0","841"
"Ante RebiД‡","forward","Eint Frankfurt","536cebe5","23","2017","79","2.36","1.3","18.4","4.7","0.1","54.3","1305","-2.3","59","36","3.5","39","9","0.46","29.2","46","43","0","13","97","42.2","45","165","57.2","6","29","20","0.07","8","0","56","62","35.9","0","0","1","529"
"Anthony Martial","forward","Manchester Utd","8b788c01","21","2017","84","2.73","2.5","17.3","6.3","0.12","77.7","1899","-0.1","52","48","4.32","58","9","0.74","25","35","18","0","11","120","51.8","79","182","46.3","5","34","13","0.28","1","0","17","79","36.8","0","0","1","441"
"Antoine Griezmann","forward","AtlГ©tico Madrid","df69b544","26","2017","89","2.5","5.5","18","13.1","0.16","74.9","3324","2.2","125","41","3.5","66","10","0.61","33.3","32","46","0","21","102","60.9","57","185","73.7","17","45","15","0.52","7","1","24","120","29.4","0","0","1","676"
"Antonio Candreva","forward","Inter","356c9002","30","2017","81","2.59","-4","22.1","4","0.06","71.6","4954","-0.9","120","288","4.92","95","8","0.57","20.5","65","34","0","21","84","65.8","104","337","74.2","9","49","26","0.34","4","0","20","130","0","0","0","1","900"
"Antonio RГјdiger","defender","Chelsea","18b896d6","24","2017","81","0.58","0.3","16.5","1.7","0.12","88.8","9100","0.6","121","10","0.69","16","0","0.15","48.4","7","55","1","123","20","80","23","7","68.4","25","46","22","0.7","4","0","26","175","60.4","1","0","0","576"
"Antonio Sanabria","forward","Betis","0a447501","21","2017","79","2.53","2.9","10.8","5.1","0.21","72.4","210","-0.1","7","2","1.16","7","2","0.32","0","4","12","0","7","34","54.5","7","51","24.9","5","22","17","0.03","0","0","12","20","39","0","0","1","441"
"AntonГ­n BarГЎk","midfielder","Udinese","01efac19","22","2017","77","1.26","4.2","20.7","2.8","0.07","77.3","4768","-0.3","161","34","2.75","66","3","0.23","36.2","35","76","1","33","53","56.4","56","127","79.3","25","37","44","-0.12","5","0","47","172","50.8","0","1","0","484"
"Arkadiusz Milik","forward","Napoli","85613cf0","23","2017","82","4.62","0.5","15.4","4.5","0.19","77.2","211","0.3","12","2","2.82","12","0","0.2","0","6","3","0","6","25","50","7","53","13.1","0","18","8","1.45","2","0","8","11","19","0","0","1","529"
"Armando Izzo","defender","Genoa","89976232","25","2017","76","0.19","0.1","10.7","0.9","0.3","74.8","5057","-0.2","57","14","0.71","6","0","0","66.7","10","64","0","77","9","87.5","11","12","40.6","15","10","15","0.21","2","0","15","111","65.9","1","0","0","625"
"Arne Maier","midfielder","Hertha BSC","ab700320","18","2017","72","0.96","-1","26.3","1","0.08","82.6","2641","-0.2","81","10","1.69","21","0","0.22","75","15","53","0","22","8","50","16","24","40","7","19","17","0.19","1","0","4","63","33.3","0","1","0","324"
"Arthur Masuaku","defender","West Ham","57df7a11","23","2017","76","0.43","-0.3","27.3","0.3","0.03","71.8","3590","1","56","100","1.88","31","4","0.29","43.1","45","84","1","76","24","64.3","70","115","54.7","13","27","29","-0.29","5","0","30","143","54.8","1","0","0","529"
"Ashley Barnes","forward","Burnley","2691c772","27","2017","77","2.49","2.3","15.4","6.7","0.11","59.5","996","-1.6","34","16","2.12","34","4","0.29","17.2","17","23","0","21","94","64","15","127","63.3","14","26","23","-0.4","10","0","53","87","27.1","0","0","1","729"
"Ashley Westwood","midfielder","Burnley","495945ef","27","2017","75","0.65","-0.6","19.7","0.6","0.08","80","2893","0","69","13","1.38","14","0","0.16","12.5","3","32","0","26","7","50","7","6","32.5","10","16","17","-0.3","2","0","13","84","64.3","0","1","0","729"
"Ashley Young","defender","Manchester Utd","be927d03","32","2017","80","0.66","1.2","21.9","0.8","0.04","76.4","7834","0.4","103","121","2.32","44","4","0.29","38.3","42","110","1","96","23","55.8","57","113","71.4","21","44","26","0.19","7","0","29","168","47.5","1","0","0","1024"
"Aymen Barkok","forward","Eint Frankfurt","a2a85828","19","2017","69","0.86","-0.1","23","0.1","0.04","73.3","236","0.5","9","4","2.29","6","0","0.29","71.4","5","13","0","3","6","40","4","19","10.3","0","3","3","-0.44","1","0","6","21","30.8","0","0","1","361"
"Aymeric Laporte","defender","Athletic Club","119b9a8e","23","2017","84","0.42","-0.7","17.5","0.7","0.09","83","6784","0.1","74","9","0.58","10","0","0.11","56","6","65","1","108","16","66.7","6","5","50","19","23","22","0","5","0","19","97","70.1","1","0","0","529"
"AГЇssa Mandi","defender","Betis","fbd6378b","25","2017","79","0.42","-2.3","11","3.3","0.23","91.6","13638","-0.2","129","1","0.57","15","0","0.03","55.9","7","125","3","218","21","81.3","29","9","88.4","33","54","49","-0.01","9","1","34","135","57.3","1","0","0","625"
"Baptiste Santamaria","midfielder","Angers","5e22e2a4","22","2017","75","0.63","-0.6","27.2","0.6","0.03","78","5157","-0.8","134","16","1.56","34","2","0.07","27.7","16","102","2","64","8","88","35","15","75.8","22","28","43","-0.06","6","0","48","179","55.8","0","1","0","484"
"Bartosz BereszyЕ„ski","defender","Sampdoria","61b3978f","25","2017","73","0.18","-0.1","27.5","0.1","0.02","79.1","7823","0","118","61","1.27","23","1","0.11","58.5","56","93","2","97","5","73.5","40","64","72.5","24","37","39","-0.34","5","0","26","154","53.1","1","0","0","625"
"Ben Chilwell","defender","Leicester City","d2424d1b","20","2017","76","0.29","-0.2","24.8","0.2","0.03","71.1","4494","-0.4","78","84","2.24","34","3","0.19","46.9","50","64","3","61","18","59.6","55","121","54.2","16","32","30","0.22","2","2","13","129","52","1","0","0","400"
"Ben Davies","defender","Tottenham","44781702","24","2017","81","0.7","0.9","21.2","1.1","0.06","75.2","8393","2.8","165","149","3.18","59","1","0.27","52.1","69","75","1","72","37","71.4","52","178","68","24","47","20","0.88","3","0","24","110","47.4","1","0","0","576"
"Ben Mee","defender","Burnley","8df7a2fb","27","2017","80","0.86","-1.9","12.4","1.9","0.07","75.8","7677","-0.5","77","3","0.9","22","0","0.03","55.2","8","66","1","213","41","100","6","3","76.3","29","27","27","-0.5","5","0","14","153","59.2","1","0","0","729"
"Benjamin AndrГ©","midfielder","Rennes","ef9c1c95","26","2017","77","0.96","-1.3","13.9","4.3","0.13","78","5876","1.1","234","21","2.3","66","3","0.21","38.1","39","150","1","81","50","79.5","54","117","88","29","45","36","0.1","11","1","72","259","55.3","0","1","0","676"
"Benjamin Bourigeaud","midfielder","Rennes","20e73fac","23","2017","77","1.83","0.5","23.2","8.8","0.1","72.2","7961","-1.7","170","279","4.29","69","1","0.35","21.5","53","100","0","38","51","47.9","61","195","90.7","30","46","41","0","3","0","35","212","18.8","0","1","0","529"
"Benjamin Henrichs","defender","Leverkusen","0a89e877","20","2017","76","1.35","-0.8","20.3","0.8","0.04","71.2","4166","-0.3","71","36","2.63","28","1","0.28","62.8","44","73","0","45","33","31.8","19","74","41.4","9","27","22","0.59","1","1","16","88","52.6","1","0","0","400"
"Benjamin Pavard","defender","Stuttgart","45a03961","21","2017","80","0.32","0","17.1","1","0.09","83.2","11486","-1.1","103","9","0.79","23","0","0.06","76.6","18","125","1","242","25","66.7","15","31","100","34","36","36","-0.09","2","0","24","124","53.8","1","0","0","441"
"Berat Djimsiti","defender","Benevento","6eee05f1","24","2017","67","0.3","-1","9.9","1","0.12","87.9","10280","0.4","90","1","0.73","17","1","0.07","40","8","94","1","293","22","80","13","1","78.9","30","30","61","-0.78","2","0","24","164","65.2","1","0","0","576"
"Bernardo Silva","forward","Manchester City","3eb22ec9","22","2017","84","1.47","2.5","14","3.8","0.14","83.6","2087","1.2","80","50","3.58","55","1","0.29","20","22","37","1","9","95","70.7","41","218","44.8","9","46","10","1.26","0","0","9","73","26.3","0","0","1","484"
"Bertrand TraorГ©","forward","Lyon","c47541e0","21","2017","79","3.15","4.1","17.1","8.9","0.11","80.7","2845","1.3","82","28","3.66","59","13","0.55","28.6","17","71","1","27","112","63.4","79","270","66.8","15","64","30","0.76","3","0","25","105","63.4","0","0","1","441"
"Borja Mayoral","forward","Real Madrid","64e8ed6d","20","2017","75","3.91","-0.1","10.9","3.1","0.21","83.5","191","0.9","11","0","1.57","5","0","0.52","20","2","6","0","1","22","77.8","4","17","10.1","1","13","7","1.5","0","0","4","15","66.7","0","0","1","400"
"Boubacar Kamara","forward","Marseille","cc77354e","17","2017","71","0.4","-0.2","8.8","0.2","0.1","87.5","1279","0.7","9","2","0.59","2","1","0.4","66.7","1","17","0","19","4","83.3","1","4","13.3","4","10","6","1.02","1","0","8","31","52.6","0","0","1","289"
"Bouna Sarr","midfielder","Marseille","1a4b9094","25","2017","77","0.91","-1.1","21.1","1.1","0.06","85.4","4971","0.2","67","84","3.37","46","3","0.3","57.9","25","97","2","47","25","62","65","107","52.3","15","43","20","1.33","5","0","37","163","52.9","0","1","0","625"
"Brais MГ©ndez","midfielder","Celta Vigo","c9e39d91","20","2017","73","2.09","-0.7","18.8","1.7","0.08","76.1","1504","-0.7","46","24","2.57","20","0","0.38","41.2","10","23","0","11","28","50","18","74","27.7","2","15","18","-0.39","0","0","17","60","26.9","0","1","0","400"
"Bram Nuytinck","defender","Udinese","e33f36d5","27","2017","74","0.46","0","11.7","1","0.09","84.9","7599","0.5","78","3","0.53","9","0","0.19","64.1","9","102","1","140","24","50","5","4","69.1","26","36","43","-0.14","2","0","28","101","61.6","1","0","0","729"
"Breel Embolo","forward","Schalke 04","0b4f388a","20","2017","76","1.76","-1.1","14.7","4.1","0.23","72.9","525","-0.2","25","7","2.64","10","5","0.59","22.2","14","20","0","4","34","30.3","22","77","30","2","20","13","0.17","4","0","42","38","30.2","0","0","1","400"
"Bryan Cristante","midfielder","Atalanta","16657b95","22","2017","78","2.49","1.5","16","8.2","0.1","76","6260","-2.9","212","27","3.09","74","6","0.16","30.5","41","89","0","39","121","62.7","56","167","82.6","19","48","32","0.66","4","0","57","200","52.7","0","1","0","484"
"Callum Hudson-Odoi","forward","Chelsea","15f3ec41","16","2017","68","6.21","-0.1","19.9","0.1","0.04","66.7","30","0","2","2","6.21","1","0","0","0","0","0","0","0","2","100","2","5","0.8","0","0","1","1.6","0","0","0","0","0","0","0","1","256"
"Callum Wilson","forward","Bournemouth","c596fcb0","25","2017","78","2.41","0.4","13.6","7.6","0.14","69","826","0.5","39","15","2.13","32","2","0.32","7.1","21","12","0","18","108","39.5","10","170","57.9","9","27","33","-0.25","0","0","37","64","21","0","0","1","625"
"Calum Chambers","defender","Arsenal","dc6f5bdd","22","2017","75","1.04","-1.4","13.8","1.4","0.14","82.7","3313","-0.1","43","7","0.94","6","1","0.1","35.7","7","35","0","70","14","70","11","20","25.3","5","22","14","0.29","1","0","10","71","49.1","1","0","0","484"
"Casemiro","midfielder","Real Madrid","4d224fe8","25","2017","88","1.11","1.7","23.2","3.3","0.1","87.7","7974","0.3","145","6","2.36","57","1","0.38","50","21","172","3","123","29","64.7","32","47","75.9","24","70","33","0.94","8","0","59","242","61.5","0","1","0","625"
"Cengiz Гњnder","forward","Roma","1880614f","20","2017","77","3.31","2.4","18.6","4.6","0.1","66.7","1116","0","33","59","3.88","34","3","0.29","16.7","21","19","0","10","70","60.5","42","146","36.5","0","24","8","1.09","0","0","2","57","26.3","0","0","1","400"
"Cenk Tosun","forward","Everton","9a104dee","26","2017","80","1.73","2.2","13.3","2.8","0.15","68.8","358","-1.4","9","7","2.37","22","1","0","9.1","9","7","0","14","33","50","11","69","28.8","5","10","13","-0.09","0","0","25","30","32","0","0","1","676"
"Cesc FГ bregas","midfielder","Chelsea","33508c78","30","2017","84","1.48","-0.4","19.2","2.4","0.06","79.7","13012","-2.8","348","140","6.56","110","2","0.51","26.1","38","90","2","51","66","75","53","135","67.5","15","40","26","0.59","5","2","25","171","31.3","0","1","0","900"
"Charles ArГЎnguiz","midfielder","Leverkusen","56413b1f","28","2017","81","1.33","-1.8","23.4","2.8","0.08","84.8","8717","1.7","225","22","2.78","59","0","0.23","53.2","28","123","2","45","36","38.6","27","45","75.2","22","41","29","0.64","4","0","41","177","31","0","1","0","784"
"Charlie Taylor","defender","Burnley","cc2d7ad5","23","2017","74","0","0","0","0","0","68.3","2255","-0.2","23","26","1.23","10","1","0","58.3","19","31","0","50","2","44.4","10","21","27.8","10","6","12","-0.67","3","0","7","57","65.7","1","0","0","529"
"Cheikhou KouyatГ©","midfielder","West Ham","8d3c902d","27","2017","76","0.74","-0.7","14.2","2.7","0.12","74.7","2762","1.9","66","17","1.22","32","0","0.26","37.1","25","103","1","61","40","60.6","20","64","81.8","27","41","57","-0.46","5","0","45","188","52.4","0","1","0","729"
