Player,Pos,Squad,id,Age,Season,RATING,Sh/90,np:G-xG,Dist,npxG/Sh,Cmp%,A-xAG,Crs,TO,Tkl%,Tkl+Int,Err,Def Pen,Succ%,44986,onGA,xG+/-90,CrdY,CrdR,Won%,def,mid,forw,Age^2
Charles ArГЎnguiz,midfielder,Leverkusen,56413b1f,28,2017,81,1.33,-1.8,23.4,0.08,84.8,1.7,22,0,53.2,123,2,45,38.6,27,29,0.64,4,0,31.0,0,1,0,784
Charlie Taylor,defender,Burnley,cc2d7ad5,23,2017,74,0.0,0.0,0.0,0.0,68.3,-0.2,26,1,58.3,31,0,50,44.4,10,12,-0.67,3,0,65.7,1,0,0,529
Cheikhou KouyatГ©,midfielder,West Ham,8d3c902d,27,2017,76,0.74,-0.7,14.2,0.12,74.7,1.9,17,0,37.1,103,1,61,60.6,20,57,-0.46,5,0,52.4,0,1,0,729
Chris Smalling,defender,Manchester Utd,b6964eb6,27,2017,81,0.46,2.3,8.5,0.13,87.5,-0.2,0,0,57.1,103,1,175,100.0,12,24,0.12,4,0,69.2,1,0,0,729
Chris Wood,forward,Burnley,4e9a0555,25,2017,78,2.16,3.0,12.3,0.19,59.0,0.4,5,3,23.1,7,0,20,60.0,11,11,-0.33,1,0,44.4,0,0,1,625
Christian Benteke,forward,Crystal Palace,ab070c55,26,2017,78,2.33,-6.6,12.5,0.15,56.1,2.1,3,5,11.8,14,0,50,61.5,22,36,0.13,6,0,56.9,0,0,1,676
Christian Eriksen,midfielder,Tottenham,980522ec,25,2017,88,2.71,3.0,23.0,0.07,76.5,-1.6,222,6,28.8,82,0,19,54.7,103,33,0.85,0,0,38.6,0,1,0,625
Christian GГјnter,forward,Freiburg,8593f88c,24,2017,75,0.74,-0.1,24.8,0.05,69.7,0.2,177,5,60.3,93,0,76,49.3,82,56,-0.19,2,0,27.8,0,0,1,576
Christian Pulisic,forward,Dortmund,1bf33a9a,18,2017,79,1.49,-1.2,15.3,0.14,74.8,0.1,75,12,59.1,62,0,7,42.3,86,38,0.68,1,0,21.6,0,0,1,324
Christoph Kramer,midfielder,M'Gladbach,496aeede,26,2017,81,0.5,1.3,16.3,0.14,87.3,-0.5,7,3,51.3,132,1,63,48.2,20,32,-0.24,5,0,45.2,0,1,0,676
Christophe HГ©relle,defender,Troyes,3681cfff,24,2017,76,0.4,-1.7,12.4,0.13,83.4,-0.2,0,0,53.3,95,1,257,20.0,6,52,-0.38,7,1,66.7,1,0,0,576
Christopher Nkunku,forward,Paris S-G,7c56da38,19,2017,76,2.85,1.6,16.9,0.12,90.3,-0.7,10,0,21.4,10,1,9,68.4,16,7,1.6,0,0,50.0,0,0,1,361
Ciaran Clark,defender,Newcastle Utd,2b91cf8e,27,2017,76,0.57,0.3,8.7,0.16,71.5,0.3,2,0,52.4,42,1,152,80.0,7,30,-0.39,3,0,50.7,1,0,0,729
Ciro Immobile,forward,Lazio,4431aed2,27,2017,87,3.42,7.6,16.9,0.14,77.7,-0.6,17,8,0.0,4,0,9,51.0,53,35,0.65,3,1,39.5,0,0,1,729
ClГ©ment Lenglet,defender,Sevilla,4f28a6ff,22,2017,82,0.42,0.4,8.3,0.19,83.4,0.3,1,0,55.3,102,1,216,85.7,7,50,0.21,9,0,63.1,1,0,0,484
Corentin Jean,forward,Toulouse,7d9b37bf,22,2017,74,1.33,-1.0,21.2,0.08,65.6,-0.8,80,7,23.8,26,0,9,64.7,30,31,-0.24,3,0,31.9,0,0,1,484
Corentin Tolisso,midfielder,Bayern Munich,652d4c37,22,2017,83,2.4,1.5,19.7,0.11,89.6,1.1,12,1,43.8,49,0,20,23.8,34,16,1.21,3,0,42.6,0,1,0,484
Cristiano Biraghi,defender,Fiorentina,9e1577aa,24,2017,75,1.06,-0.6,21.8,0.05,70.8,-0.5,245,1,62.1,117,2,96,55.6,49,40,0.45,7,0,50.8,1,0,0,576
Damien Da Silva,defender,Caen,1ec7e1c5,29,2017,78,0.57,2.3,9.5,0.09,81.8,0.0,0,0,60.6,88,2,201,100.0,5,45,-0.09,7,0,54.9,1,0,0,841
DamiГЎn SuГЎrez,defender,Getafe,ba5004e1,29,2017,77,0.31,0.4,30.7,0.06,69.2,0.8,95,4,48.9,132,1,91,41.0,28,27,0.24,14,1,40.4,1,0,0,841
Daniel Caligiuri,forward,Schalke 04,d1273f09,29,2017,80,0.99,1.1,21.8,0.06,70.0,4.5,168,10,52.1,167,0,66,55.4,74,35,0.19,4,0,52.0,0,0,1,841
Daniel Ginczek,forward,Stuttgart,e5f63987,26,2017,78,2.48,-1.0,14.5,0.17,59.9,-1.4,6,5,16.7,13,0,12,43.3,16,16,0.12,3,0,39.8,0,0,1,676
Daniel Wass,forward,Celta Vigo,d83bbc54,28,2017,82,1.6,0.3,24.9,0.07,75.0,1.6,147,0,32.0,60,0,59,45.8,40,53,-0.07,3,0,47.9,0,0,1,784
Daniele Baselli,midfielder,Torino,ea06dd97,25,2017,79,1.25,0.2,19.1,0.11,81.1,-1.5,27,1,35.7,120,1,62,62.9,40,32,0.16,13,2,53.2,0,1,0,625
Daniele Rugani,defender,Juventus,14b8fcdf,23,2017,82,0.42,1.0,11.7,0.11,90.7,0.4,2,0,53.8,38,1,120,0.0,6,17,0.72,3,0,58.0,1,0,0,529
Danilo,defender,Manchester City,94b2001f,26,2017,79,1.27,1.9,23.4,0.06,88.1,1.8,24,0,54.3,62,0,32,61.5,35,11,1.27,2,0,72.7,1,0,0,676
Danilo Cataldi,midfielder,Benevento,ba3d3bea,22,2017,75,1.42,-0.5,25.3,0.04,82.1,1.7,62,2,17.9,70,1,41,74.2,25,57,-1.13,10,2,16.7,0,1,0,484
Danilo D'Ambrosio,defender,Inter,44eb9093,28,2017,76,0.54,-0.7,13.4,0.19,81.1,1.6,59,0,50.8,127,1,98,46.9,48,28,0.51,6,0,60.4,1,0,0,784
Danny Ings,forward,Liverpool,07802f7f,25,2017,76,2.7,-0.1,11.8,0.14,59.5,-0.1,3,1,0.0,7,0,3,25.0,2,0,1.54,0,0,30.8,0,0,1,625
Danny Welbeck,forward,Arsenal,ce5143da,26,2017,77,2.41,-0.5,14.5,0.17,79.5,0.6,2,3,33.3,31,0,21,60.9,20,21,0.26,1,0,41.1,0,0,1,676
Danny da Costa,midfielder,Eint Frankfurt,5ddb8f9f,24,2017,78,0.67,0.2,11.4,0.09,71.7,0.5,35,0,85.7,54,0,33,35.3,11,23,0.18,1,0,47.6,0,1,0,576
Dante,defender,Nice,fd2bc67d,33,2017,80,0.65,-1.4,11.8,0.11,91.8,-0.8,1,0,58.3,90,2,261,80.0,6,50,-0.03,10,1,60.8,1,0,0,1089
Darko LazoviД‡,forward,Genoa,5128bde4,26,2017,74,0.65,-0.5,16.4,0.05,70.1,-0.9,83,3,50.0,32,0,18,64.7,43,20,0.27,2,0,33.3,0,0,1,676
David Alaba,defender,Bayern Munich,05439de2,25,2017,85,1.39,0.7,26.9,0.05,84.2,-0.3,94,1,70.0,33,0,45,35.3,45,10,1.6,1,0,46.9,1,0,0,625
David Silva,midfielder,Manchester City,e2716bd0,31,2017,89,2.0,1.8,15.9,0.13,86.6,2.6,74,2,20.0,50,0,22,77.6,133,18,1.47,5,0,58.3,0,1,0,961
Davide Biraschi,defender,Genoa,64cd167d,23,2017,69,0.2,-0.6,18.0,0.16,76.1,0.2,34,3,72.0,71,0,85,80.0,27,24,0.02,2,0,54.2,1,0,0,529
Davide Calabria,defender,Milan,2146785a,20,2017,77,0.46,0.2,20.5,0.09,78.1,-0.3,81,2,51.2,97,1,58,68.4,31,18,0.47,1,2,54.8,1,0,0,400
Davide Zappacosta,forward,Chelsea,7fe90ccd,25,2017,79,2.05,-0.4,20.3,0.06,77.9,-0.3,84,2,44.0,32,0,20,37.8,29,15,0.83,0,0,70.0,0,0,1,625
Davie Selke,forward,Hertha BSC,1238a3f9,22,2017,77,2.2,2.1,13.9,0.16,58.4,-2.0,13,7,44.4,15,1,25,42.4,28,32,0.0,4,0,49.5,0,0,1,484
Davinson SГЎnchez,defender,Tottenham,da7b447d,21,2017,84,0.32,-0.5,13.3,0.06,89.2,-0.1,3,0,45.0,76,0,146,100.0,8,21,0.84,1,1,54.5,1,0,0,441
