Player,Pos,Squad,id,Age,Season,RATING,Gls,SoT%,Cmp%,Ast,Tkl%,Clr,Att.5,Succ%,PPM,CrdY,CrdR,Won%,def,mid,forw,Age^2
Albin Ekdal,midfielder,Hamburger SV,f503ea63,28,2017,76,0,12.5,75.9,1,62.1,19,16,43.8,1.26,3,0,48.3,0,1,0,784
Alessandro Bastoni,defender,Atalanta,75b86fb3,18,2017,67,0,0.0,81.4,0,100.0,3,3,66.7,2.25,0,0,0.0,1,0,0,324
Alessandro Florenzi,defender,Roma,e288d4b3,26,2017,82,1,15.8,76.5,3,38.3,62,34,52.9,2.09,2,0,33.3,1,0,0,676
Alessandro SchГ¶pf,midfielder,Schalke 04,106bca06,23,2017,77,0,33.3,75.0,0,47.8,13,36,36.1,2.07,3,0,38.1,0,1,0,529
Alessio Romagnoli,defender,Milan,3ead85f9,22,2017,82,2,50.0,90.9,0,64.3,154,2,100.0,1.68,8,2,65.7,1,0,0,484
Alex Ferrari,defender,Hellas Verona,d0dbca9f,23,2017,70,1,12.5,74.0,0,53.7,117,33,57.6,0.72,5,0,55.9,1,0,0,529
Alex Iwobi,midfielder,Arsenal,6ca5ec4b,21,2017,76,3,48.9,85.1,5,27.8,10,52,69.2,1.42,1,0,17.6,0,1,0,441
Alex Oxlade-Chamberlain,midfielder,Liverpool,38c7feef,23,2017,80,3,39.5,76.5,7,28.6,14,54,74.1,2.0,3,0,27.0,0,1,0,529
Alex Sandro,defender,Juventus,0d82903c,26,2017,86,4,38.9,83.4,3,51.3,45,71,74.6,2.77,8,0,61.3,1,0,0,676
Alexander Djiku,defender,Caen,43e7a164,22,2017,76,0,11.1,80.3,0,48.1,155,7,85.7,1.0,10,0,62.8,1,0,0,484
Alexander Hack,defender,Mainz 05,a5ec3ede,23,2017,74,1,33.3,76.2,0,64.9,87,7,71.4,1.13,2,0,69.9,1,0,0,529
Alexandre Lacazette,forward,Arsenal,9dbb75ca,26,2017,85,14,48.5,75.0,4,14.8,5,45,73.3,1.78,1,0,32.6,0,0,1,676
Alexis SГЎnchez,midfielder,Arsenal,2c0f8e9e,28,2017,87,7,35.3,69.4,3,21.9,1,60,66.7,1.89,4,0,36.8,0,1,0,784
Alfred Duncan,midfielder,Sassuolo,528492ea,24,2017,75,0,22.5,69.2,2,28.8,29,51,66.7,1.27,4,0,37.8,0,1,0,576
Allan Saint-Maximin,forward,Nice,2b16cb1a,20,2017,79,3,41.0,73.4,7,42.9,10,167,64.7,1.53,1,0,40.0,0,0,1,400
Almamy TourГ©,defender,Monaco,c8c60119,21,2017,74,1,14.3,70.6,5,60.0,61,19,68.4,1.9,3,0,59.3,1,0,0,441
Amadou Diawara,midfielder,Napoli,bf309d24,20,2017,77,1,50.0,92.2,0,14.3,5,2,100.0,2.78,1,0,33.3,0,1,0,400
Ambroise Oyongo,defender,Montpellier,e3e05edf,26,2017,73,0,100.0,67.6,0,0.0,6,8,75.0,1.67,0,0,25.0,1,0,0,676
Amine Harit,midfielder,Schalke 04,e7d59f4f,20,2017,78,3,37.5,81.9,3,35.1,11,118,44.9,1.74,3,0,41.4,0,1,0,400
Anastasios Donis,midfielder,Stuttgart,0f26fd24,20,2017,73,2,39.5,64.4,2,75.0,7,80,51.3,1.28,1,0,36.0,0,1,0,400
Ander Herrera,midfielder,Manchester Utd,436a9dd0,27,2017,82,0,8.3,86.2,2,29.0,22,14,71.4,2.12,5,0,47.4,0,1,0,729
Andrea Conti,defender,Milan,8fef5412,23,2017,75,0,0.0,88.7,0,66.7,5,1,100.0,3.0,0,0,100.0,1,0,0,529
Andrea Petagna,forward,Atalanta,03f946ed,22,2017,75,4,32.6,72.4,5,9.1,5,52,53.8,1.62,6,0,50.0,0,0,1,484
Andrea Ranocchia,defender,Inter,539230cf,29,2017,76,2,42.9,89.8,0,50.0,35,1,100.0,1.82,4,0,83.3,1,0,0,841
Andreas Christensen,defender,Chelsea,1cb49278,21,2017,82,0,8.3,93.1,0,66.7,109,5,100.0,1.67,0,0,67.9,1,0,0,441
Andrei Girotto,midfielder,Nantes,3befc2b6,25,2017,70,1,25.8,75.2,1,40.4,45,15,60.0,1.6,8,0,58.2,0,1,0,625
Andrej KramariД‡,forward,Hoffenheim,603cb947,26,2017,83,13,40.7,72.7,6,37.5,7,53,37.7,1.62,1,0,25.0,0,0,1,676
Andrew Robertson,defender,Liverpool,2e4f5f03,23,2017,83,1,16.7,83.5,5,51.7,56,17,52.9,2.14,2,0,62.5,1,0,0,529
Andriy Yarmolenko,forward,Dortmund,849c826a,27,2017,80,3,38.7,73.0,3,43.8,4,44,36.4,1.22,0,0,40.9,0,0,1,729
Andros Townsend,forward,Crystal Palace,b28bbd58,26,2017,78,2,22.6,71.0,7,32.0,28,122,68.9,1.14,3,0,18.8,0,0,1,676
AndrГ© Hahn,forward,Hamburger SV,cd82452e,26,2017,73,3,38.1,50.5,0,31.3,26,31,12.9,0.65,0,0,45.2,0,0,1,676
AndrГ©s Guardado,midfielder,Betis,ef322658,30,2017,82,2,25.0,83.7,8,27.3,29,33,66.7,1.69,7,0,48.6,0,1,0,900
Andy Delort,forward,Toulouse,d33c706e,25,2017,75,5,26.5,56.1,5,21.1,22,41,46.3,0.91,5,0,49.5,0,0,1,625
Angelo Fulgini,midfielder,Angers,4b96c347,20,2017,74,3,24.3,73.4,5,29.6,7,40,65.0,1.03,4,0,20.9,0,1,0,400
Angelo Ogbonna,defender,West Ham,74b2cd7e,29,2017,78,1,25.0,79.4,0,44.4,197,11,81.8,1.06,3,0,52.7,1,0,0,841
Ante RebiД‡,forward,Eint Frankfurt,536cebe5,23,2017,79,6,50.0,54.3,2,29.2,13,90,42.2,1.72,8,0,35.9,0,0,1,529
Anthony Martial,forward,Manchester Utd,8b788c01,21,2017,84,9,31.3,77.7,5,25.0,7,83,51.8,2.03,1,0,36.8,0,0,1,441
Antoine Griezmann,forward,AtlГ©tico Madrid,df69b544,26,2017,89,19,54.3,74.9,9,33.3,14,46,60.9,2.06,7,1,29.4,0,0,1,676
Antonio Candreva,forward,Inter,356c9002,30,2017,81,0,31.5,71.6,7,20.5,24,76,65.8,1.89,4,0,0.0,0,0,1,900
Antonio RГјdiger,defender,Chelsea,18b896d6,24,2017,81,2,26.7,88.8,1,48.4,115,10,80.0,2.04,4,0,60.4,1,0,0,576
Antonio Sanabria,forward,Betis,0a447501,21,2017,79,8,50.0,72.4,0,0.0,6,11,54.5,1.59,0,0,39.0,0,0,1,441
AntonГ­n BarГЎk,midfielder,Udinese,01efac19,22,2017,77,7,57.9,77.3,3,36.2,26,55,56.4,1.09,5,0,50.8,0,1,0,484
Arkadiusz Milik,forward,Napoli,85613cf0,23,2017,82,5,56.5,77.2,1,0.0,4,4,50.0,2.07,2,0,19.0,0,0,1,529
Armando Izzo,defender,Genoa,89976232,25,2017,76,1,33.3,74.8,0,66.7,70,8,87.5,1.0,2,0,65.9,1,0,0,625
Arne Maier,midfielder,Hertha BSC,ab700320,18,2017,72,0,7.7,82.6,1,75.0,20,12,50.0,1.41,1,0,33.3,0,1,0,324
Arthur Masuaku,defender,West Ham,57df7a11,23,2017,76,0,33.3,71.8,3,43.1,38,129,64.3,1.26,5,0,54.8,1,0,0,529
Ashley Barnes,forward,Burnley,2691c772,27,2017,77,9,36.7,59.5,0,17.2,19,25,64.0,1.42,10,0,27.1,0,0,1,729
Ashley Westwood,midfielder,Burnley,495945ef,27,2017,75,0,12.5,80.0,1,12.5,16,4,50.0,1.74,2,0,64.3,0,1,0,729
Ashley Young,defender,Manchester Utd,be927d03,32,2017,80,2,22.2,76.4,4,38.3,86,52,55.8,1.97,7,0,47.5,1,0,0,1024
Aymen Barkok,forward,Eint Frankfurt,a2a85828,19,2017,69,0,0.0,73.3,1,71.4,3,10,40.0,1.56,1,0,30.8,0,0,1,361
Aymeric Laporte,defender,Athletic Club,119b9a8e,23,2017,84,0,25.0,83.0,1,56.0,94,6,66.7,1.32,5,0,70.1,1,0,0,529
AГЇssa Mandi,defender,Betis,fbd6378b,25,2017,79,1,14.3,91.6,0,55.9,133,16,81.3,1.65,9,1,57.3,1,0,0,625
Baptiste Santamaria,midfielder,Angers,5e22e2a4,22,2017,75,0,5.6,78.0,0,27.7,48,25,88.0,1.06,6,0,55.8,0,1,0,484
Bartosz BereszyЕ„ski,defender,Sampdoria,61b3978f,25,2017,73,0,0.0,79.1,1,58.5,98,34,73.5,1.45,5,0,53.1,1,0,0,625
Ben Chilwell,defender,Leicester City,d2424d1b,20,2017,76,0,16.7,71.1,2,46.9,71,52,59.6,1.33,2,2,52.0,1,0,0,400
Ben Davies,defender,Tottenham,44781702,24,2017,81,2,33.3,75.2,6,52.1,70,21,71.4,2.0,3,0,47.4,1,0,0,576
Ben Mee,defender,Burnley,8df7a2fb,27,2017,80,0,28.0,75.8,0,55.2,217,3,100.0,1.38,5,0,59.2,1,0,0,729
Benjamin AndrГ©,midfielder,Rennes,ef9c1c95,26,2017,77,3,25.0,78.0,3,38.1,96,44,79.5,1.59,11,1,55.3,0,1,0,676
Benjamin Bourigeaud,midfielder,Rennes,20e73fac,23,2017,77,10,38.1,72.2,7,21.5,29,48,47.9,1.57,3,0,18.8,0,1,0,529
Benjamin Henrichs,defender,Leverkusen,0a89e877,20,2017,76,0,10.5,71.2,1,62.8,32,22,31.8,1.61,1,1,52.6,1,0,0,400
Benjamin Pavard,defender,Stuttgart,45a03961,21,2017,80,1,27.3,83.2,0,76.6,192,15,66.7,1.5,2,0,53.8,1,0,0,441
Berat Djimsiti,defender,Benevento,6eee05f1,24,2017,67,0,22.2,87.9,1,40.0,178,10,80.0,0.7,2,0,65.2,1,0,0,576
Bernardo Silva,forward,Manchester City,3eb22ec9,22,2017,84,6,56.0,83.6,4,20.0,12,41,70.7,2.6,0,0,26.3,0,0,1,484
Bertrand TraorГ©,forward,Lyon,c47541e0,21,2017,79,13,37.5,80.7,4,28.6,31,82,63.4,2.0,3,0,63.4,0,0,1,441
Borja Mayoral,forward,Real Madrid,64e8ed6d,20,2017,75,3,66.7,83.5,1,20.0,0,9,77.8,2.07,0,0,66.7,0,0,1,400
Boubacar Kamara,forward,Marseille,cc77354e,17,2017,71,0,50.0,87.5,1,66.7,18,6,83.3,2.33,1,0,52.6,0,0,1,289
Bouna Sarr,midfielder,Marseille,1a4b9094,25,2017,77,0,11.1,85.4,3,57.9,53,71,62.0,1.93,5,0,52.9,0,1,0,625
Brais MГ©ndez,midfielder,Celta Vigo,c9e39d91,20,2017,73,1,40.9,76.1,1,41.2,12,16,50.0,1.25,0,0,26.9,0,1,0,400
Bram Nuytinck,defender,Udinese,e33f36d5,27,2017,74,1,8.3,84.9,1,64.1,124,2,50.0,1.22,2,0,61.6,1,0,0,729
Breel Embolo,forward,Schalke 04,0b4f388a,20,2017,76,3,55.6,72.9,0,22.2,3,66,30.3,1.71,4,0,30.2,0,0,1,400
Bryan Cristante,midfielder,Atalanta,16657b95,22,2017,78,9,26.9,76.0,2,30.5,27,83,62.7,1.56,4,0,52.7,0,1,0,484
Callum Hudson-Odoi,forward,Chelsea,15f3ec41,16,2017,68,0,50.0,66.7,0,0.0,0,5,100.0,0.0,0,0,0.0,0,0,1,256
Callum Wilson,forward,Bournemouth,c596fcb0,25,2017,78,8,35.8,69.0,2,7.1,15,43,39.5,1.32,0,0,21.0,0,0,1,625
Calum Chambers,defender,Arsenal,dc6f5bdd,22,2017,75,0,30.0,82.7,0,35.7,47,10,70.0,1.67,1,0,49.1,1,0,0,484
Casemiro,midfielder,Real Madrid,4d224fe8,25,2017,88,5,37.5,87.7,3,50.0,49,17,64.7,2.03,8,0,61.5,0,1,0,625
Cengiz Гњnder,forward,Roma,1880614f,20,2017,77,7,34.8,66.7,2,16.7,10,38,60.5,1.92,0,0,26.3,0,0,1,400
Cenk Tosun,forward,Everton,9a104dee,26,2017,80,5,42.1,68.8,0,9.1,13,8,50.0,1.14,0,0,32.0,0,0,1,676
Cesc FГ bregas,midfielder,Chelsea,33508c78,30,2017,84,2,26.3,79.7,4,26.1,26,24,75.0,1.72,5,2,31.3,0,1,0,900
Charles ArГЎnguiz,midfielder,Leverkusen,56413b1f,28,2017,81,1,14.7,84.8,3,53.2,27,44,38.6,1.63,4,0,31.0,0,1,0,784
Charlie Taylor,defender,Burnley,cc2d7ad5,23,2017,74,0,0.0,68.3,0,58.3,52,18,44.4,0.73,3,0,65.7,1,0,0,529
Cheikhou KouyatГ©,midfielder,West Ham,8d3c902d,27,2017,76,2,17.4,74.7,3,37.1,56,33,60.6,1.06,5,0,52.4,0,1,0,729
Chris Smalling,defender,Manchester Utd,b6964eb6,27,2017,81,4,46.2,87.5,0,57.1,162,3,100.0,2.07,4,0,69.2,1,0,0,729
Chris Wood,forward,Burnley,4e9a0555,25,2017,78,10,61.5,59.0,1,23.1,16,10,60.0,1.67,1,0,44.4,0,0,1,625
Christian Benteke,forward,Crystal Palace,ab070c55,26,2017,78,3,29.3,56.1,5,11.8,44,26,61.5,1.23,6,0,56.9,0,0,1,676
Christian Eriksen,midfielder,Tottenham,980522ec,25,2017,88,10,40.2,76.5,10,28.8,21,53,54.7,2.05,0,0,38.6,0,1,0,625
Christian GГјnter,forward,Freiburg,8593f88c,24,2017,75,1,32.0,69.7,4,60.3,68,69,49.3,1.06,2,0,27.8,0,0,1,576
Christian Pulisic,forward,Dortmund,1bf33a9a,18,2017,79,4,39.5,74.8,5,59.1,11,182,42.3,1.69,1,0,21.6,0,0,1,324
Christoph Kramer,midfielder,M'Gladbach,496aeede,26,2017,81,3,33.3,87.3,0,51.3,37,56,48.2,1.26,5,0,45.2,0,1,0,676
Christophe HГ©relle,defender,Troyes,3681cfff,24,2017,76,0,30.8,83.4,0,53.3,241,5,20.0,0.79,7,1,66.7,1,0,0,576
Christopher Nkunku,forward,Paris S-G,7c56da38,19,2017,76,4,65.0,90.3,0,21.4,2,19,68.4,2.55,0,0,50.0,0,0,1,361
Ciaran Clark,defender,Newcastle Utd,2b91cf8e,27,2017,76,2,27.3,71.5,1,52.4,144,5,80.0,1.05,3,0,50.7,1,0,0,729
Ciro Immobile,forward,Lazio,4431aed2,27,2017,87,29,45.1,77.7,6,0.0,9,49,51.0,2.0,3,1,39.5,0,0,1,729
ClГ©ment Lenglet,defender,Sevilla,4f28a6ff,22,2017,82,3,35.7,83.4,1,55.3,157,14,85.7,1.54,9,0,63.1,1,0,0,484
Corentin Jean,forward,Toulouse,7d9b37bf,22,2017,74,1,32.0,65.6,2,23.8,10,34,64.7,0.82,3,0,31.9,0,0,1,484
Corentin Tolisso,midfielder,Bayern Munich,652d4c37,22,2017,83,6,42.9,89.6,4,43.8,8,21,23.8,2.5,3,0,42.6,0,1,0,484
Cristiano Biraghi,defender,Fiorentina,9e1577aa,24,2017,75,1,17.1,70.8,4,62.1,103,18,55.6,1.56,7,0,50.8,1,0,0,576
Damien Da Silva,defender,Caen,1ec7e1c5,29,2017,78,4,55.6,81.8,0,60.6,184,9,100.0,0.97,7,0,54.9,1,0,0,841
DamiГЎn SuГЎrez,defender,Getafe,ba5004e1,29,2017,77,1,40.0,69.2,4,48.9,76,83,41.0,1.42,14,1,40.4,1,0,0,841
Daniel Caligiuri,forward,Schalke 04,d1273f09,29,2017,80,6,50.0,70.0,10,52.1,71,101,55.4,1.88,4,0,52.0,0,0,1,841
Daniel Ginczek,forward,Stuttgart,e5f63987,26,2017,78,7,35.7,59.9,0,16.7,13,30,43.3,1.91,3,0,39.8,0,0,1,676
Daniel Wass,forward,Celta Vigo,d83bbc54,28,2017,82,4,21.2,75.0,8,32.0,47,24,45.8,1.29,3,0,47.9,0,0,1,784
Daniele Baselli,midfielder,Torino,ea06dd97,25,2017,79,4,25.7,81.1,0,35.7,40,35,62.9,1.5,13,2,53.2,0,1,0,625
Daniele Rugani,defender,Juventus,14b8fcdf,23,2017,82,2,33.3,90.7,1,53.8,87,2,0.0,2.59,3,0,58.0,1,0,0,529
Danilo,defender,Manchester City,94b2001f,26,2017,79,3,36.8,88.1,2,54.3,33,13,61.5,2.48,2,0,72.7,1,0,0,676
Danilo Cataldi,midfielder,Benevento,ba3d3bea,22,2017,75,1,16.7,82.1,4,17.9,20,31,74.2,0.31,10,2,16.7,0,1,0,484
Danilo D'Ambrosio,defender,Inter,44eb9093,28,2017,76,2,33.3,81.1,3,50.8,68,32,46.9,1.94,6,0,60.4,1,0,0,784
Danny Ings,forward,Liverpool,07802f7f,25,2017,76,1,62.5,59.5,0,0.0,1,4,25.0,1.63,0,0,30.8,0,0,1,625
Danny Welbeck,forward,Arsenal,ce5143da,26,2017,77,5,40.6,79.5,2,33.3,13,23,60.9,1.39,1,0,41.1,0,0,1,676
Danny da Costa,midfielder,Eint Frankfurt,5ddb8f9f,24,2017,78,1,22.2,71.7,2,85.7,47,17,35.3,1.06,1,0,47.6,0,1,0,576
Dante,defender,Nice,fd2bc67d,33,2017,80,1,19.0,91.8,0,58.3,130,10,80.0,1.24,10,1,60.8,1,0,0,1089
Darko LazoviД‡,forward,Genoa,5128bde4,26,2017,74,0,22.2,70.1,1,50.0,12,34,64.7,1.05,2,0,33.3,0,0,1,676
David Alaba,defender,Bayern Munich,05439de2,25,2017,85,2,29.2,84.2,2,70.0,23,34,35.3,2.7,1,0,46.9,1,0,0,625
David Silva,midfielder,Manchester City,e2716bd0,31,2017,89,9,37.0,86.6,11,20.0,7,49,77.6,2.76,5,0,58.3,0,1,0,961
Davide Biraschi,defender,Genoa,64cd167d,23,2017,69,0,0.0,76.1,1,72.0,78,30,80.0,1.13,2,0,54.2,1,0,0,529
Davide Calabria,defender,Milan,2146785a,20,2017,77,1,50.0,78.1,2,51.2,82,19,68.4,1.95,1,2,54.8,1,0,0,400
Davide Zappacosta,forward,Chelsea,7fe90ccd,25,2017,79,1,36.0,77.9,1,44.0,26,37,37.8,2.09,0,0,70.0,0,0,1,625
Davie Selke,forward,Hertha BSC,1238a3f9,22,2017,77,10,45.7,58.4,0,44.4,20,59,42.4,1.26,4,0,49.5,0,0,1,484
Davinson SГЎnchez,defender,Tottenham,da7b447d,21,2017,84,0,11.1,89.2,0,45.0,162,9,100.0,2.16,1,1,54.5,1,0,0,441
Dayot Upamecano,defender,RB Leipzig,d248cd8f,18,2017,76,3,70.0,83.6,0,68.9,141,19,68.4,1.68,3,1,65.6,1,0,0,324
Declan Rice,forward,West Ham,1c7012b8,18,2017,69,0,0.0,77.7,0,60.0,77,3,66.7,1.23,1,0,47.0,0,0,1,324
Dele Alli,midfielder,Tottenham,cea4ee8f,21,2017,84,9,24.6,76.1,10,23.5,22,105,41.9,2.03,7,0,36.4,0,1,0,441
Demarai Gray,midfielder,Leicester City,4468ec10,21,2017,76,3,25.0,70.9,1,17.4,14,63,60.3,1.29,2,0,17.2,0,1,0,441
Denis Zakaria,midfielder,M'Gladbach,384d58d9,20,2017,77,2,20.0,88.8,1,65.6,40,62,48.4,1.3,11,0,41.5,0,1,0,400
Dennis Geiger,midfielder,Hoffenheim,37f606f0,19,2017,70,2,19.0,86.0,1,40.0,7,24,41.7,1.71,9,0,40.0,0,1,0,361
Dennis Praet,midfielder,Sampdoria,86695068,23,2017,76,1,33.3,81.3,3,52.1,22,84,69.0,1.38,4,0,31.3,0,1,0,529
Diego Demme,midfielder,RB Leipzig,dc3fa3b5,25,2017,79,0,27.3,83.2,3,54.0,29,26,53.8,1.63,4,0,22.6,0,1,0,625
Diego GodГ­n,defender,AtlГ©tico Madrid,fc4f85b1,31,2017,90,0,38.5,85.8,0,55.3,145,7,85.7,2.27,6,0,65.9,1,0,0,961
Diego Llorente,defender,Real Sociedad,bba30585,23,2017,76,3,31.8,88.8,0,62.1,96,18,88.9,1.04,9,1,55.3,1,0,0,529
Dimitri LiГ©nard,midfielder,Strasbourg,f7691f63,29,2017,76,5,33.3,71.3,5,35.7,41,52,65.4,1.15,6,0,30.0,0,1,0,841
Dimitri Payet,midfielder,Marseille,58ae47b2,30,2017,84,6,29.1,73.6,14,21.6,7,57,78.9,2.03,6,0,25.0,0,1,0,900
Divock Origi,forward,Wolfsburg,43a166b4,22,2017,77,6,37.1,74.5,2,14.3,17,60,48.3,0.87,2,0,41.7,0,0,1,484
Domenico Berardi,forward,Sassuolo,53a0e358,22,2017,78,4,28.4,65.1,2,16.9,14,58,62.1,1.13,8,1,32.0,0,0,1,484
Dominic Calvert-Lewin,forward,Everton,59e6e5bf,20,2017,74,4,37.2,59.9,6,13.3,23,43,48.8,1.25,4,0,44.2,0,0,1,400
Dominik Kohr,midfielder,Leverkusen,0fbecd11,23,2017,77,1,10.0,82.5,1,61.0,24,19,57.9,1.5,9,1,37.9,0,1,0,529
Dominique Heintz,defender,KГ¶ln,699fb8db,23,2017,77,1,37.5,81.9,0,59.4,140,17,52.9,0.68,3,0,52.1,1,0,0,529
Douglas Luiz,midfielder,Girona,6f7d826d,19,2017,73,0,50.0,74.3,0,27.3,0,4,100.0,1.27,3,0,33.3,0,1,0,361
Dries Mertens,forward,Napoli,89b2c8a9,30,2017,87,18,34.1,73.3,7,13.9,8,88,47.7,2.39,4,0,11.1,0,0,1,900
DuvГЎn Zapata,forward,Sampdoria,d3de9af0,26,2017,79,11,38.6,66.7,3,16.7,22,54,51.9,1.35,1,0,45.0,0,0,1,676
Eden Hazard,forward,Chelsea,a39bb753,26,2017,91,12,49.3,81.1,4,14.3,0,200,82.5,1.79,2,0,29.6,0,0,1,676
Edimilson Fernandes,forward,West Ham,3bb625ac,21,2017,71,0,14.3,77.1,1,42.9,8,13,76.9,0.86,1,0,38.5,0,0,1,441
Edin DЕѕeko,forward,Roma,3bb7f478,31,2017,85,16,36.8,68.6,3,20.0,36,63,65.1,1.97,6,0,63.0,0,0,1,961
Edinson Cavani,forward,Paris S-G,527f063d,30,2017,89,28,48.0,78.0,6,12.5,22,26,57.7,2.5,3,0,47.1,0,0,1,900
Edoardo Goldaniga,defender,Sassuolo,4b029b31,23,2017,74,1,20.0,71.0,0,55.6,56,4,100.0,1.31,5,4,51.4,1,0,0,529
Ellyes Skhiri,midfielder,Montpellier,c2211709,22,2017,76,4,25.6,85.5,1,42.0,57,50,82.0,1.4,8,0,50.7,0,1,0,484
Elseid Hysaj,defender,Napoli,2f3452eb,23,2017,81,0,18.2,86.5,1,57.1,68,47,51.1,2.34,3,1,48.1,1,0,0,529
Emil Forsberg,midfielder,RB Leipzig,9a2e0ccc,25,2017,82,2,23.5,72.6,2,42.9,4,68,58.8,1.38,0,1,30.0,0,1,0,625
Emil Krafth,defender,Bologna,77cf6852,22,2017,74,0,50.0,79.5,0,52.6,39,7,71.4,0.75,2,0,43.3,1,0,0,484
Emre Can,midfielder,Liverpool,a65ce836,23,2017,80,3,29.6,85.2,4,41.9,37,32,75.0,2.08,8,0,47.9,0,1,0,529
Enes Гњnal,forward,Villarreal,f8eca1b6,20,2017,78,5,50.0,71.7,2,0.0,11,22,40.9,1.26,1,0,46.6,0,0,1,400
Enis Bardhi,midfielder,Levante,cac2537b,22,2017,78,9,35.1,76.1,1,26.3,7,43,58.1,1.35,8,0,21.1,0,1,0,484
Eric Bailly,defender,Manchester Utd,a1232f4e,23,2017,82,1,33.3,86.0,0,41.7,58,4,100.0,2.46,2,0,68.0,1,0,0,529
Eric Dier,forward,Tottenham,ac861941,23,2017,80,0,21.9,85.3,2,40.5,93,15,86.7,2.06,4,0,57.0,0,0,1,529
Erick Cabaco,defender,Levante,e7ab4179,22,2017,75,0,100.0,71.6,0,70.0,71,4,50.0,1.43,5,0,59.4,1,0,0,484
Erik Thommy,midfielder,Stuttgart,df8e7b62,22,2017,75,2,31.0,62.9,4,52.9,8,22,31.8,2.21,0,0,31.3,0,1,0,484
Ermin BiДЌakДЌiД‡,defender,Hoffenheim,7aac47fe,27,2017,75,0,100.0,85.1,0,66.7,26,3,33.3,1.56,4,0,48.0,1,0,0,729
Fabian SchГ¤r,defender,La CoruГ±a,c8aa95da,25,2017,75,2,33.3,79.2,2,52.5,141,20,70.0,0.88,10,0,55.1,1,0,0,625
Fabinho,midfielder,Monaco,7f3b388c,23,2017,85,7,23.8,85.6,3,42.9,62,51,72.5,2.15,8,0,67.6,0,1,0,529
Fabio Quagliarella,forward,Sampdoria,ee4f2f3b,34,2017,82,19,37.1,65.0,5,8.0,23,33,54.5,1.37,4,0,47.8,0,0,1,1156
Federico Bernardeschi,forward,Juventus,ee93c1a9,23,2017,82,4,40.7,80.0,3,14.3,18,31,74.2,2.45,4,0,66.7,0,0,1,529
Federico Ceccherini,defender,Crotone,d9624b51,25,2017,72,1,25.0,80.8,0,52.0,276,21,81.0,0.92,4,1,56.1,1,0,0,625
Federico Chiesa,forward,Fiorentina,b0f7e36c,19,2017,79,6,27.5,71.7,4,29.6,16,140,54.3,1.5,7,0,25.8,0,0,1,361
