"Player","Pos","Squad","id","Age","Season","RATING","Gls","SoT%","Cmp","Cmp%","Ast","Tkl","Tkl%","Clr","Att.5","Succ%","Min","PPM","CrdY","CrdR","Fls","Won%","def","mid","forw","Age^2"
"Almamy TourГ©","defender","Monaco","c8c60119","21","2017","74","1","14.3","464","70.6","5","51","60","61","19","68.4","1248","1.9","3","0","28","59.3","1","0","0","441"
"Amadou Diawara","midfielder","Napoli","bf309d24","20","2017","77","1","50","681","92.2","0","11","14.3","5","2","100","655","2.78","1","0","12","33.3","0","1","0","400"
"Ambroise Oyongo","defender","Montpellier","e3e05edf","26","2017","73","0","100","71","67.6","0","2","0","6","8","75","201","1.67","0","0","1","25","1","0","0","676"
"Amine Harit","midfielder","Schalke 04","e7d59f4f","20","2017","78","3","37.5","615","81.9","3","39","35.1","11","118","44.9","2043","1.74","3","0","19","41.4","0","1","0","400"
"Anastasios Donis","midfielder","Stuttgart","0f26fd24","20","2017","73","2","39.5","145","64.4","2","20","75","7","80","51.3","949","1.28","1","0","18","36","0","1","0","400"
"Ander Herrera","midfielder","Manchester Utd","436a9dd0","27","2017","82","0","8.3","917","86.2","2","56","29","22","14","71.4","1268","2.12","5","0","28","47.4","0","1","0","729"
"Andrea Conti","defender","Milan","8fef5412","23","2017","75","0","0","94","88.7","0","4","66.7","5","1","100","157","3","0","0","4","100","1","0","0","529"
"Andrea Petagna","forward","Atalanta","03f946ed","22","2017","75","4","32.6","380","72.4","5","8","9.1","5","52","53.8","1618","1.62","6","0","25","50","0","0","1","484"
"Andrea Ranocchia","defender","Inter","539230cf","29","2017","76","2","42.9","283","89.8","0","8","50","35","1","100","627","1.82","4","0","8","83.3","1","0","0","841"
"Andreas Christensen","defender","Chelsea","1cb49278","21","2017","82","0","8.3","1263","93.1","0","26","66.7","109","5","100","2086","1.67","0","0","8","67.9","1","0","0","441"
"Andrei Girotto","midfielder","Nantes","3befc2b6","25","2017","70","1","25.8","490","75.2","1","57","40.4","45","15","60","1520","1.6","8","0","33","58.2","0","1","0","625"
"Andrej KramariД‡","forward","Hoffenheim","603cb947","26","2017","83","13","40.7","687","72.7","6","8","37.5","7","53","37.7","2228","1.62","1","0","10","25","0","0","1","676"
"Andrew Robertson","defender","Liverpool","2e4f5f03","23","2017","83","1","16.7","1404","83.5","5","31","51.7","56","17","52.9","1940","2.14","2","0","15","62.5","1","0","0","529"
"Andriy Yarmolenko","forward","Dortmund","849c826a","27","2017","80","3","38.7","330","73","3","17","43.8","4","44","36.4","1039","1.22","0","0","19","40.9","0","0","1","729"
"Andros Townsend","forward","Crystal Palace","b28bbd58","26","2017","78","2","22.6","870","71","7","60","32","28","122","68.9","3120","1.14","3","0","10","18.8","0","0","1","676"
"AndrГ© Hahn","forward","Hamburger SV","cd82452e","26","2017","73","3","38.1","195","50.5","0","33","31.3","26","31","12.9","1358","0.65","0","0","38","45.2","0","0","1","676"
"AndrГ©s Guardado","midfielder","Betis","ef322658","30","2017","82","2","25","1311","83.7","8","41","27.3","29","33","66.7","2264","1.69","7","0","31","48.6","0","1","0","900"
"Andy Delort","forward","Toulouse","d33c706e","25","2017","75","5","26.5","472","56.1","5","20","21.1","22","41","46.3","2333","0.91","5","0","70","49.5","0","0","1","625"
"Angelo Fulgini","midfielder","Angers","4b96c347","20","2017","74","3","24.3","539","73.4","5","21","29.6","7","40","65","1529","1.03","4","0","19","20.9","0","1","0","400"
"Angelo Ogbonna","defender","West Ham","74b2cd7e","29","2017","78","1","25","811","79.4","0","30","44.4","197","11","81.8","2880","1.06","3","0","15","52.7","1","0","0","841"
"Ante RebiД‡","forward","Eint Frankfurt","536cebe5","23","2017","79","6","50","266","54.3","2","37","29.2","13","90","42.2","1751","1.72","8","0","56","35.9","0","0","1","529"
"Anthony Martial","forward","Manchester Utd","8b788c01","21","2017","84","9","31.3","613","77.7","5","15","25","7","83","51.8","1582","2.03","1","0","17","36.8","0","0","1","441"
"Antoine Griezmann","forward","AtlГ©tico Madrid","df69b544","26","2017","89","19","54.3","809","74.9","9","36","33.3","14","46","60.9","2519","2.06","7","1","24","29.4","0","0","1","676"
"Antonio Candreva","forward","Inter","356c9002","30","2017","81","0","31.5","1174","71.6","7","12","20.5","24","76","65.8","2537","1.89","4","0","20","0","0","0","1","900"
"Antonio RГјdiger","defender","Chelsea","18b896d6","24","2017","81","2","26.7","1540","88.8","1","31","48.4","115","10","80","2338","2.04","4","0","26","60.4","1","0","0","576"
"Antonio Sanabria","forward","Betis","0a447501","21","2017","79","8","50","126","72.4","0","8","0","6","11","54.5","853","1.59","0","0","12","39","0","0","1","441"
"AntonГ­n BarГЎk","midfielder","Udinese","01efac19","22","2017","77","7","57.9","905","77.3","3","58","36.2","26","55","56.4","2713","1.09","5","0","47","50.8","0","1","0","484"
"Arkadiusz Milik","forward","Napoli","85613cf0","23","2017","82","5","56.5","115","77.2","1","2","0","4","4","50","448","2.07","2","0","8","19","0","0","1","529"
"Armando Izzo","defender","Genoa","89976232","25","2017","76","1","33.3","650","74.8","0","30","66.7","70","8","87.5","1387","1","2","0","15","65.9","1","0","0","625"
"Arne Maier","midfielder","Hertha BSC","ab700320","18","2017","72","0","7.7","530","82.6","1","29","75","20","12","50","1223","1.41","1","0","4","33.3","0","1","0","324"
"Arthur Masuaku","defender","West Ham","57df7a11","23","2017","76","0","33.3","668","71.8","3","58","43.1","38","129","64.3","1870","1.26","5","0","30","54.8","1","0","0","529"
"Ashley Barnes","forward","Burnley","2691c772","27","2017","77","9","36.7","316","59.5","0","21","17.2","19","25","64","2165","1.42","10","0","53","27.1","0","0","1","729"
"Ashley Westwood","midfielder","Burnley","495945ef","27","2017","75","0","12.5","492","80","1","13","12.5","16","4","50","1111","1.74","2","0","13","64.3","0","1","0","729"
"Ashley Young","defender","Manchester Utd","be927d03","32","2017","80","2","22.2","1285","76.4","4","53","38.3","86","52","55.8","2442","1.97","7","0","29","47.5","1","0","0","1024"
"Aymen Barkok","forward","Eint Frankfurt","a2a85828","19","2017","69","0","0","88","73.3","1","11","71.4","3","10","40","314","1.56","1","0","6","30.8","0","0","1","361"
"Aymeric Laporte","defender","Athletic Club","119b9a8e","23","2017","84","0","25","822","83","1","38","56","94","6","66.7","1710","1.32","5","0","19","70.1","1","0","0","529"
"AГЇssa Mandi","defender","Betis","fbd6378b","25","2017","79","1","14.3","1965","91.6","0","54","55.9","133","16","81.3","3024","1.65","9","1","34","57.3","1","0","0","625"
"Baptiste Santamaria","midfielder","Angers","5e22e2a4","22","2017","75","0","5.6","929","78","0","59","27.7","48","25","88","2591","1.06","6","0","48","55.8","0","1","0","484"
"Bartosz BereszyЕ„ski","defender","Sampdoria","61b3978f","25","2017","73","0","0","1271","79.1","1","63","58.5","98","34","73.5","2480","1.45","5","0","26","53.1","1","0","0","625"
"Ben Chilwell","defender","Leicester City","d2424d1b","20","2017","76","0","16.7","852","71.1","2","36","46.9","71","52","59.6","1853","1.33","2","2","13","52","1","0","0","400"
"Ben Davies","defender","Tottenham","44781702","24","2017","81","2","33.3","1305","75.2","6","47","52.1","70","21","71.4","2324","2","3","0","24","47.4","1","0","0","576"
"Ben Mee","defender","Burnley","8df7a2fb","27","2017","80","0","28","823","75.8","0","33","55.2","217","3","100","2610","1.38","5","0","14","59.2","1","0","0","729"
"Benjamin AndrГ©","midfielder","Rennes","ef9c1c95","26","2017","77","3","25","1482","78","3","93","38.1","96","44","79.5","3011","1.59","11","1","72","55.3","0","1","0","676"
"Benjamin Bourigeaud","midfielder","Rennes","20e73fac","23","2017","77","10","38.1","1291","72.2","7","55","21.5","29","48","47.9","3102","1.57","3","0","35","18.8","0","1","0","529"
"Benjamin Henrichs","defender","Leverkusen","0a89e877","20","2017","76","0","10.5","586","71.2","1","42","62.8","32","22","31.8","1268","1.61","1","1","16","52.6","1","0","0","400"
"Benjamin Pavard","defender","Stuttgart","45a03961","21","2017","80","1","27.3","1616","83.2","0","55","76.6","192","15","66.7","3060","1.5","2","0","24","53.8","1","0","0","441"
"Berat Djimsiti","defender","Benevento","6eee05f1","24","2017","67","0","22.2","1423","87.9","1","32","40","178","10","80","2700","0.7","2","0","24","65.2","1","0","0","576"
"Bernardo Silva","forward","Manchester City","3eb22ec9","22","2017","84","6","56","836","83.6","4","27","20","12","41","70.7","1533","2.6","0","0","9","26.3","0","0","1","484"
"Bertrand TraorГ©","forward","Lyon","c47541e0","21","2017","79","13","37.5","838","80.7","4","32","28.6","31","82","63.4","2284","2","3","0","25","63.4","0","0","1","441"
"Borja Mayoral","forward","Real Madrid","64e8ed6d","20","2017","75","3","66.7","101","83.5","1","6","20","0","9","77.8","345","2.07","0","0","4","66.7","0","0","1","400"
"Boubacar Kamara","forward","Marseille","cc77354e","17","2017","71","0","50","252","87.5","1","14","66.7","18","6","83.3","455","2.33","1","0","8","52.6","0","0","1","289"
"Bouna Sarr","midfielder","Marseille","1a4b9094","25","2017","77","0","11.1","1136","85.4","3","65","57.9","53","71","62","1789","1.93","5","0","37","52.9","0","1","0","625"
"Brais MГ©ndez","midfielder","Celta Vigo","c9e39d91","20","2017","73","1","40.9","362","76.1","1","19","41.2","12","16","50","948","1.25","0","0","17","26.9","0","1","0","400"
"Bram Nuytinck","defender","Udinese","e33f36d5","27","2017","74","1","8.3","1062","84.9","1","65","64.1","124","2","50","2362","1.22","2","0","28","61.6","1","0","0","729"
"Breel Embolo","forward","Schalke 04","0b4f388a","20","2017","76","3","55.6","161","72.9","0","14","22.2","3","66","30.3","919","1.71","4","0","42","30.2","0","0","1","400"
"Bryan Cristante","midfielder","Atalanta","16657b95","22","2017","78","9","26.9","1233","76","2","66","30.5","27","83","62.7","2824","1.56","4","0","57","52.7","0","1","0","484"
"Callum Hudson-Odoi","forward","Chelsea","15f3ec41","16","2017","68","0","50","12","66.7","0","0","0","0","5","100","29","0","0","0","0","0","0","0","1","256"
"Callum Wilson","forward","Bournemouth","c596fcb0","25","2017","78","8","35.8","285","69","2","9","7.1","15","43","39.5","1981","1.32","0","0","37","21","0","0","1","625"
"Calum Chambers","defender","Arsenal","dc6f5bdd","22","2017","75","0","30","521","82.7","0","17","35.7","47","10","70","866","1.67","1","0","10","49.1","1","0","0","484"
"Casemiro","midfielder","Real Madrid","4d224fe8","25","2017","88","5","37.5","1545","87.7","3","109","50","49","17","64.7","2595","2.03","8","0","59","61.5","0","1","0","625"
"Cengiz Гњnder","forward","Roma","1880614f","20","2017","77","7","34.8","300","66.7","2","10","16.7","10","38","60.5","1249","1.92","0","0","2","26.3","0","0","1","400"
"Cenk Tosun","forward","Everton","9a104dee","26","2017","80","5","42.1","187","68.8","0","6","9.1","13","8","50","986","1.14","0","0","25","32","0","0","1","676"
"Cesc FГ bregas","midfielder","Chelsea","33508c78","30","2017","84","2","26.3","1873","79.7","4","68","26.1","26","24","75","2307","1.72","5","2","25","31.3","0","1","0","900"
"Charles ArГЎnguiz","midfielder","Leverkusen","56413b1f","28","2017","81","1","14.7","1492","84.8","3","75","53.2","27","44","38.6","2302","1.63","4","0","41","31","0","1","0","784"
"Charlie Taylor","defender","Burnley","cc2d7ad5","23","2017","74","0","0","316","68.3","0","16","58.3","52","18","44.4","950","0.73","3","0","7","65.7","1","0","0","529"
"Cheikhou KouyatГ©","midfielder","West Ham","8d3c902d","27","2017","76","2","17.4","734","74.7","3","71","37.1","56","33","60.6","2799","1.06","5","0","45","52.4","0","1","0","729"
"Chris Smalling","defender","Manchester Utd","b6964eb6","27","2017","81","4","46.2","998","87.5","0","40","57.1","162","3","100","2536","2.07","4","0","24","69.2","1","0","0","729"
"Chris Wood","forward","Burnley","4e9a0555","25","2017","78","10","61.5","250","59","1","7","23.1","16","10","60","1624","1.67","1","0","18","44.4","0","0","1","625"
"Christian Benteke","forward","Crystal Palace","ab070c55","26","2017","78","3","29.3","379","56.1","5","11","11.8","44","26","61.5","2240","1.23","6","0","48","56.9","0","0","1","676"
"Christian Eriksen","midfielder","Tottenham","980522ec","25","2017","88","10","40.2","1919","76.5","10","51","28.8","21","53","54.7","3218","2.05","0","0","14","38.6","0","1","0","625"
"Christian GГјnter","forward","Freiburg","8593f88c","24","2017","75","1","32","1231","69.7","4","73","60.3","68","69","49.3","3060","1.06","2","0","24","27.8","0","0","1","576"
"Christian Pulisic","forward","Dortmund","1bf33a9a","18","2017","79","4","39.5","675","74.8","5","46","59.1","11","182","42.3","2302","1.69","1","0","16","21.6","0","0","1","324"
"Christoph Kramer","midfielder","M'Gladbach","496aeede","26","2017","81","3","33.3","1340","87.3","0","89","51.3","37","56","48.2","2151","1.26","5","0","45","45.2","0","1","0","676"
"Christophe HГ©relle","defender","Troyes","3681cfff","24","2017","76","0","30.8","1059","83.4","0","39","53.3","241","5","20","2957","0.79","7","1","27","66.7","1","0","0","576"
"Christopher Nkunku","forward","Paris S-G","7c56da38","19","2017","76","4","65","326","90.3","0","5","21.4","2","19","68.4","631","2.55","0","0","12","50","0","0","1","361"
"Ciaran Clark","defender","Newcastle Utd","2b91cf8e","27","2017","76","2","27.3","511","71.5","1","25","52.4","144","5","80","1746","1.05","3","0","17","50.7","1","0","0","729"
"Ciro Immobile","forward","Lazio","4431aed2","27","2017","87","29","45.1","620","77.7","6","4","0","9","49","51","2683","2","3","1","21","39.5","0","0","1","729"
"ClГ©ment Lenglet","defender","Sevilla","4f28a6ff","22","2017","82","3","35.7","1441","83.4","1","67","55.3","157","14","85.7","3001","1.54","9","0","52","63.1","1","0","0","484"
"Corentin Jean","forward","Toulouse","7d9b37bf","22","2017","74","1","32","343","65.6","2","12","23.8","10","34","64.7","1688","0.82","3","0","15","31.9","0","0","1","484"
"Corentin Tolisso","midfielder","Bayern Munich","652d4c37","22","2017","83","6","42.9","1148","89.6","4","33","43.8","8","21","23.8","1575","2.5","3","0","21","42.6","0","1","0","484"
"Cristiano Biraghi","defender","Fiorentina","9e1577aa","24","2017","75","1","17.1","1268","70.8","4","74","62.1","103","18","55.6","2980","1.56","7","0","39","50.8","1","0","0","576"
"Damien Da Silva","defender","Caen","1ec7e1c5","29","2017","78","4","55.6","1108","81.8","0","52","60.6","184","9","100","2836","0.97","7","0","36","54.9","1","0","0","841"
"DamiГЎn SuГЎrez","defender","Getafe","ba5004e1","29","2017","77","1","40","1175","69.2","4","86","48.9","76","83","41","2877","1.42","14","1","54","40.4","1","0","0","841"
"Daniel Caligiuri","forward","Schalke 04","d1273f09","29","2017","80","6","50","1261","70","10","100","52.1","71","101","55.4","2917","1.88","4","0","38","52","0","0","1","841"
"Daniel Ginczek","forward","Stuttgart","e5f63987","26","2017","78","7","35.7","206","59.9","0","8","16.7","13","30","43.3","1523","1.91","3","0","32","39.8","0","0","1","676"
"Daniel Wass","forward","Celta Vigo","d83bbc54","28","2017","82","4","21.2","1257","75","8","30","32","47","24","45.8","2932","1.29","3","0","26","47.9","0","0","1","784"
"Daniele Baselli","midfielder","Torino","ea06dd97","25","2017","79","4","25.7","1080","81.1","0","63","35.7","40","35","62.9","2521","1.5","13","2","53","53.2","0","1","0","625"
"Daniele Rugani","defender","Juventus","14b8fcdf","23","2017","82","2","33.3","1371","90.7","1","18","53.8","87","2","0","1935","2.59","3","0","25","58","1","0","0","529"
"Danilo","defender","Manchester City","94b2001f","26","2017","79","3","36.8","1106","88.1","2","43","54.3","33","13","61.5","1349","2.48","2","0","12","72.7","1","0","0","676"
"Danilo Cataldi","midfielder","Benevento","ba3d3bea","22","2017","75","1","16.7","1124","82.1","4","33","17.9","20","31","74.2","2282","0.31","10","2","35","16.7","0","1","0","484"
"Danilo D'Ambrosio","defender","Inter","44eb9093","28","2017","76","2","33.3","1719","81.1","3","82","50.8","68","32","46.9","2979","1.94","6","0","58","60.4","1","0","0","784"
"Danny Ings","forward","Liverpool","07802f7f","25","2017","76","1","62.5","47","59.5","0","5","0","1","4","25","267","1.63","0","0","6","30.8","0","0","1","625"
"Danny Welbeck","forward","Arsenal","ce5143da","26","2017","77","5","40.6","315","79.5","2","20","33.3","13","23","60.9","1194","1.39","1","0","13","41.1","0","0","1","676"
"Danny da Costa","midfielder","Eint Frankfurt","5ddb8f9f","24","2017","78","1","22.2","493","71.7","2","41","85.7","47","17","35.3","1202","1.06","1","0","11","47.6","0","1","0","576"
"Dante","defender","Nice","fd2bc67d","33","2017","80","1","19","2146","91.8","0","43","58.3","130","10","80","2919","1.24","10","1","27","60.8","1","0","0","1089"
"Darko LazoviД‡","forward","Genoa","5128bde4","26","2017","74","0","22.2","475","70.1","1","19","50","12","34","64.7","1242","1.05","2","0","8","33.3","0","0","1","676"
"David Alaba","defender","Bayern Munich","05439de2","25","2017","85","2","29.2","1126","84.2","2","23","70","23","34","35.3","1551","2.7","1","0","9","46.9","1","0","0","625"
"David Silva","midfielder","Manchester City","e2716bd0","31","2017","89","9","37","2183","86.6","11","32","20","7","49","77.6","2430","2.76","5","0","21","58.3","0","1","0","961"
"Davide Biraschi","defender","Genoa","64cd167d","23","2017","69","0","0","753","76.1","1","33","72","78","30","80","1796","1.13","2","0","26","54.2","1","0","0","529"
"Davide Calabria","defender","Milan","2146785a","20","2017","77","1","50","910","78.1","2","64","51.2","82","19","68.4","1564","1.95","1","2","26","54.8","1","0","0","400"
"Davide Zappacosta","forward","Chelsea","7fe90ccd","25","2017","79","1","36","514","77.9","1","26","44","26","37","37.8","1098","2.09","0","0","7","70","0","0","1","625"
"Davie Selke","forward","Hertha BSC","1238a3f9","22","2017","77","10","45.7","257","58.4","0","13","44.4","20","59","42.4","1886","1.26","4","0","60","49.5","0","0","1","484"
"Davinson SГЎnchez","defender","Tottenham","da7b447d","21","2017","84","0","11.1","1677","89.2","0","38","45","162","9","100","2534","2.16","1","1","25","54.5","1","0","0","441"
"Dayot Upamecano","defender","RB Leipzig","d248cd8f","18","2017","76","3","70","1224","83.6","0","57","68.9","141","19","68.4","2268","1.68","3","1","32","65.6","1","0","0","324"
"Declan Rice","forward","West Ham","1c7012b8","18","2017","69","0","0","457","77.7","0","36","60","77","3","66.7","1430","1.23","1","0","5","47","0","0","1","324"
"Dele Alli","midfielder","Tottenham","cea4ee8f","21","2017","84","9","24.6","985","76.1","10","46","23.5","22","105","41.9","2958","2.03","7","0","43","36.4","0","1","0","441"
"Demarai Gray","midfielder","Leicester City","4468ec10","21","2017","76","3","25","465","70.9","1","17","17.4","14","63","60.3","1697","1.29","2","0","7","17.2","0","1","0","441"
"Denis Zakaria","midfielder","M'Gladbach","384d58d9","20","2017","77","2","20","883","88.8","1","74","65.6","40","62","48.4","2296","1.3","11","0","57","41.5","0","1","0","400"
"Dennis Geiger","midfielder","Hoffenheim","37f606f0","19","2017","70","2","19","707","86","1","52","40","7","24","41.7","1588","1.71","9","0","53","40","0","1","0","361"
"Dennis Praet","midfielder","Sampdoria","86695068","23","2017","76","1","33.3","1228","81.3","3","85","52.1","22","84","69","2657","1.38","4","0","26","31.3","0","1","0","529"
"Diego Demme","midfielder","RB Leipzig","dc3fa3b5","25","2017","79","0","27.3","1763","83.2","3","81","54","29","26","53.8","2284","1.63","4","0","45","22.6","0","1","0","625"
"Diego GodГ­n","defender","AtlГ©tico Madrid","fc4f85b1","31","2017","90","0","38.5","1044","85.8","0","50","55.3","145","7","85.7","2554","2.27","6","0","46","65.9","1","0","0","961"
"Diego Llorente","defender","Real Sociedad","bba30585","23","2017","76","3","31.8","1360","88.8","0","30","62.1","96","18","88.9","2326","1.04","9","1","35","55.3","1","0","0","529"
"Dimitri LiГ©nard","midfielder","Strasbourg","f7691f63","29","2017","76","5","33.3","1196","71.3","5","77","35.7","41","52","65.4","2602","1.15","6","0","28","30","0","1","0","841"
"Dimitri Payet","midfielder","Marseille","58ae47b2","30","2017","84","6","29.1","1225","73.6","14","22","21.6","7","57","78.9","2347","2.03","6","0","17","25","0","1","0","900"
"Divock Origi","forward","Wolfsburg","43a166b4","22","2017","77","6","37.1","316","74.5","2","6","14.3","17","60","48.3","1967","0.87","2","0","32","41.7","0","0","1","484"
"Domenico Berardi","forward","Sassuolo","53a0e358","22","2017","78","4","28.4","642","65.1","2","31","16.9","14","58","62.1","2296","1.13","8","1","42","32","0","0","1","484"
"Dominic Calvert-Lewin","forward","Everton","59e6e5bf","20","2017","74","4","37.2","311","59.9","6","15","13.3","23","43","48.8","1882","1.25","4","0","43","44.2","0","0","1","400"
"Dominik Kohr","midfielder","Leverkusen","0fbecd11","23","2017","77","1","10","780","82.5","1","49","61","24","19","57.9","1664","1.5","9","1","45","37.9","0","1","0","529"
"Dominique Heintz","defender","KГ¶ln","699fb8db","23","2017","77","1","37.5","1245","81.9","0","60","59.4","140","17","52.9","2790","0.68","3","0","25","52.1","1","0","0","529"
"Douglas Luiz","midfielder","Girona","6f7d826d","19","2017","73","0","50","107","74.3","0","10","27.3","0","4","100","309","1.27","3","0","13","33.3","0","1","0","361"
"Dries Mertens","forward","Napoli","89b2c8a9","30","2017","87","18","34.1","744","73.3","7","28","13.9","8","88","47.7","3002","2.39","4","0","38","11.1","0","0","1","900"
"DuvГЎn Zapata","forward","Sampdoria","d3de9af0","26","2017","79","11","38.6","391","66.7","3","12","16.7","22","54","51.9","2108","1.35","1","0","27","45","0","0","1","676"
"Eden Hazard","forward","Chelsea","a39bb753","26","2017","91","12","49.3","1168","81.1","4","6","14.3","0","200","82.5","2422","1.79","2","0","13","29.6","0","0","1","676"
"Edimilson Fernandes","forward","West Ham","3bb625ac","21","2017","71","0","14.3","222","77.1","1","17","42.9","8","13","76.9","845","0.86","1","0","5","38.5","0","0","1","441"
"Edin DЕѕeko","forward","Roma","3bb7f478","31","2017","85","16","36.8","546","68.6","3","15","20","36","63","65.1","3018","1.97","6","0","37","63","0","0","1","961"
"Edinson Cavani","forward","Paris S-G","527f063d","30","2017","89","28","48","414","78","6","15","12.5","22","26","57.7","2581","2.5","3","0","19","47.1","0","0","1","900"
