Player,Pos,Squad,id,Age,Season,RATING,xG,Blocks,Tkl+Int,Err,Def Pen,Att.5,Succ%,Mn/Sub,xG+/-90,OG,Won%,def,mid,forw,Age^2
Adrien Tameze,midfielder,Nice,8da74c05,23,2017,73,0.3,19,99,1,52,46,78.3,16,-0.06,0,51.2,0,1,0,529
Adrien Thomasson,midfielder,Nantes,c76b7567,23,2017,74,4.2,40,89,0,21,35,60.0,30,0.06,0,27.7,0,1,0,529
Ainsley Maitland-Niles,forward,Arsenal,e3a5814e,19,2017,71,0.2,18,37,2,36,25,80.0,0,0.0,0,30.0,0,0,1,361
Alberto Grassi,midfielder,SPAL,6cc97b6a,22,2017,75,2.9,11,91,0,54,30,43.3,0,-0.43,0,54.5,0,1,0,484
Albin Ekdal,midfielder,Hamburger SV,f503ea63,28,2017,76,0.5,20,60,0,30,16,43.8,0,-0.22,0,48.3,0,1,0,784
Alessandro Bastoni,defender,Atalanta,75b86fb3,18,2017,67,0.0,4,3,0,2,3,66.7,0,0.68,0,0.0,1,0,0,324
Alessandro Florenzi,defender,Roma,e288d4b3,26,2017,82,3.8,43,82,1,69,34,52.9,0,0.74,0,33.3,1,0,0,676
Alessandro SchГ¶pf,midfielder,Schalke 04,106bca06,23,2017,77,0.4,16,37,1,16,36,36.1,0,0.07,0,38.1,0,1,0,529
Alessio Romagnoli,defender,Milan,3ead85f9,22,2017,82,1.1,11,43,1,157,2,100.0,0,0.46,0,65.7,1,0,0,484
Alex Ferrari,defender,Hellas Verona,d0dbca9f,23,2017,70,0.8,34,120,4,142,33,57.6,0,-1.04,0,55.9,1,0,0,529
Alex Iwobi,midfielder,Arsenal,6ca5ec4b,21,2017,76,3.9,27,26,1,16,52,69.2,0,0.5,0,17.6,0,1,0,441
Alex Oxlade-Chamberlain,midfielder,Liverpool,38c7feef,23,2017,80,2.2,12,52,0,13,54,74.1,0,0.95,0,27.0,0,1,0,529
Alex Sandro,defender,Juventus,0d82903c,26,2017,86,1.6,36,87,0,58,71,74.6,0,0.87,0,61.3,1,0,0,676
Alexander Djiku,defender,Caen,43e7a164,22,2017,76,1.6,2,122,2,117,7,85.7,0,-0.05,0,62.8,1,0,0,484
Alexander Hack,defender,Mainz 05,a5ec3ede,23,2017,74,0.7,11,72,2,114,7,71.4,0,-0.28,0,69.9,1,0,0,529
Alexandre Lacazette,forward,Arsenal,9dbb75ca,26,2017,85,13.7,21,31,0,8,45,73.3,0,0.8,0,32.6,0,0,1,676
Alexis SГЎnchez,midfielder,Arsenal,2c0f8e9e,28,2017,87,8.1,31,26,0,9,60,66.7,0,0.6,0,36.8,0,1,0,784
Alfred Duncan,midfielder,Sassuolo,528492ea,24,2017,75,2.0,43,58,1,40,51,66.7,0,0.09,0,37.8,0,1,0,576
Allan Saint-Maximin,forward,Nice,2b16cb1a,20,2017,79,3.9,38,29,0,8,167,64.7,28,0.24,0,40.0,0,0,1,400
Almamy TourГ©,defender,Monaco,c8c60119,21,2017,74,0.4,20,73,0,53,19,68.4,14,-0.35,0,59.3,1,0,0,441
Amadou Diawara,midfielder,Napoli,bf309d24,20,2017,77,0.2,3,20,0,11,2,100.0,0,1.14,0,33.3,0,1,0,400
Ambroise Oyongo,defender,Montpellier,e3e05edf,26,2017,73,0.0,6,8,0,3,8,75.0,0,-0.2,0,25.0,1,0,0,676
Amine Harit,midfielder,Schalke 04,e7d59f4f,20,2017,78,3.6,15,58,0,7,118,44.9,0,0.23,0,41.4,0,1,0,400
Anastasios Donis,midfielder,Stuttgart,0f26fd24,20,2017,73,4.4,13,29,0,7,80,51.3,0,-0.27,0,36.0,0,1,0,400
Ander Herrera,midfielder,Manchester Utd,436a9dd0,27,2017,82,0.4,6,90,2,50,14,71.4,0,-0.25,0,47.4,0,1,0,729
Andrea Conti,defender,Milan,8fef5412,23,2017,75,0.0,3,5,0,6,1,100.0,0,1.12,0,100.0,1,0,0,529
Andrea Petagna,forward,Atalanta,03f946ed,22,2017,75,4.7,26,12,0,5,52,53.8,0,0.41,0,50.0,0,0,1,484
Andrea Ranocchia,defender,Inter,539230cf,29,2017,76,0.8,0,20,0,40,1,100.0,0,0.48,1,83.3,1,0,0,841
Andreas Christensen,defender,Chelsea,1cb49278,21,2017,82,0.9,6,65,5,150,5,100.0,0,0.65,0,67.9,1,0,0,441
Andrei Girotto,midfielder,Nantes,3befc2b6,25,2017,70,1.4,18,72,1,44,15,60.0,15,0.24,0,58.2,0,1,0,625
Andrej KramariД‡,forward,Hoffenheim,603cb947,26,2017,83,9.6,29,14,0,4,53,37.7,0,0.08,0,25.0,0,0,1,676
Andrew Robertson,defender,Liverpool,2e4f5f03,23,2017,83,0.5,42,57,0,60,17,52.9,0,1.27,0,62.5,1,0,0,529
Andriy Yarmolenko,forward,Dortmund,849c826a,27,2017,80,4.8,9,24,0,8,44,36.4,0,0.96,0,40.9,0,0,1,729
Andros Townsend,forward,Crystal Palace,b28bbd58,26,2017,78,3.0,49,95,0,29,122,68.9,0,0.15,0,18.8,0,0,1,676
AndrГ© Hahn,forward,Hamburger SV,cd82452e,26,2017,73,3.5,31,43,0,26,31,12.9,0,-0.59,0,45.2,0,0,1,676
AndrГ©s Guardado,midfielder,Betis,ef322658,30,2017,82,2.5,30,63,1,42,33,66.7,30,-0.02,0,48.6,0,1,0,900
Andy Delort,forward,Toulouse,d33c706e,25,2017,75,9.0,38,32,0,17,41,46.3,31,-0.04,0,49.5,0,0,1,625
Angelo Fulgini,midfielder,Angers,4b96c347,20,2017,74,3.1,23,41,0,13,40,65.0,30,0.01,0,20.9,0,1,0,400
Angelo Ogbonna,defender,West Ham,74b2cd7e,29,2017,78,0.7,10,88,1,215,11,81.8,0,-0.55,0,52.7,1,0,0,841
Ante RebiД‡,forward,Eint Frankfurt,536cebe5,23,2017,79,4.7,46,43,0,13,90,42.2,0,0.07,0,35.9,0,0,1,529
Anthony Martial,forward,Manchester Utd,8b788c01,21,2017,84,6.3,35,18,0,11,83,51.8,0,0.28,0,36.8,0,0,1,441
Antoine Griezmann,forward,AtlГ©tico Madrid,df69b544,26,2017,89,13.1,32,46,0,21,46,60.9,30,0.52,0,29.4,0,0,1,676
Antonio Candreva,forward,Inter,356c9002,30,2017,81,4.0,65,34,0,21,76,65.8,0,0.34,0,0.0,0,0,1,900
Antonio RГјdiger,defender,Chelsea,18b896d6,24,2017,81,1.7,7,55,1,123,10,80.0,0,0.7,0,60.4,1,0,0,576
Antonio Sanabria,forward,Betis,0a447501,21,2017,79,5.1,4,12,0,7,11,54.5,23,0.03,0,39.0,0,0,1,441
AntonГ­n BarГЎk,midfielder,Udinese,01efac19,22,2017,77,2.8,35,76,1,33,55,56.4,0,-0.12,0,50.8,0,1,0,484
Arkadiusz Milik,forward,Napoli,85613cf0,23,2017,82,4.5,6,3,0,6,4,50.0,0,1.45,0,19.0,0,0,1,529
Armando Izzo,defender,Genoa,89976232,25,2017,76,0.9,10,64,0,77,8,87.5,0,0.21,0,65.9,1,0,0,625
Arne Maier,midfielder,Hertha BSC,ab700320,18,2017,72,1.0,15,53,0,22,12,50.0,0,0.19,0,33.3,0,1,0,324
Arthur Masuaku,defender,West Ham,57df7a11,23,2017,76,0.3,45,84,1,76,129,64.3,0,-0.29,0,54.8,1,0,0,529
Ashley Barnes,forward,Burnley,2691c772,27,2017,77,6.7,17,23,0,21,25,64.0,0,-0.4,0,27.1,0,0,1,729
Ashley Westwood,midfielder,Burnley,495945ef,27,2017,75,0.6,3,32,0,26,4,50.0,0,-0.3,0,64.3,0,1,0,729
Ashley Young,defender,Manchester Utd,be927d03,32,2017,80,0.8,42,110,1,96,52,55.8,0,0.19,0,47.5,1,0,0,1024
Aymen Barkok,forward,Eint Frankfurt,a2a85828,19,2017,69,0.1,5,13,0,3,10,40.0,0,-0.44,0,30.8,0,0,1,361
Aymeric Laporte,defender,Athletic Club,119b9a8e,23,2017,84,0.7,6,65,1,108,6,66.7,0,0.0,1,70.1,1,0,0,529
AГЇssa Mandi,defender,Betis,fbd6378b,25,2017,79,3.3,7,125,3,218,16,81.3,0,-0.01,0,57.3,1,0,0,625
Baptiste Santamaria,midfielder,Angers,5e22e2a4,22,2017,75,0.6,16,102,2,64,25,88.0,40,-0.06,0,55.8,0,1,0,484
Bartosz BereszyЕ„ski,defender,Sampdoria,61b3978f,25,2017,73,0.1,56,93,2,97,34,73.5,0,-0.34,0,53.1,1,0,0,625
Ben Chilwell,defender,Leicester City,d2424d1b,20,2017,76,0.2,50,64,3,61,52,59.6,0,0.22,0,52.0,1,0,0,400
Ben Davies,defender,Tottenham,44781702,24,2017,81,1.1,69,75,1,72,21,71.4,0,0.88,0,47.4,1,0,0,576
Ben Mee,defender,Burnley,8df7a2fb,27,2017,80,1.9,8,66,1,213,3,100.0,0,-0.5,0,59.2,1,0,0,729
Benjamin AndrГ©,midfielder,Rennes,ef9c1c95,26,2017,77,4.3,39,150,1,81,44,79.5,0,0.1,0,55.3,0,1,0,676
Benjamin Bourigeaud,midfielder,Rennes,20e73fac,23,2017,77,8.8,53,100,0,38,48,47.9,29,0.0,0,18.8,0,1,0,529
Benjamin Henrichs,defender,Leverkusen,0a89e877,20,2017,76,0.8,44,73,0,45,22,31.8,0,0.59,0,52.6,1,0,0,400
Benjamin Pavard,defender,Stuttgart,45a03961,21,2017,80,1.0,18,125,1,242,15,66.7,0,-0.09,0,53.8,1,0,0,441
Berat Djimsiti,defender,Benevento,6eee05f1,24,2017,67,1.0,8,94,1,293,10,80.0,0,-0.78,0,65.2,1,0,0,576
Bernardo Silva,forward,Manchester City,3eb22ec9,22,2017,84,3.8,22,37,1,9,41,70.7,0,1.26,0,26.3,0,0,1,484
Bertrand TraorГ©,forward,Lyon,c47541e0,21,2017,79,8.9,17,71,1,27,82,63.4,19,0.76,0,63.4,0,0,1,441
Borja Mayoral,forward,Real Madrid,64e8ed6d,20,2017,75,3.1,2,6,0,1,9,77.8,11,1.5,0,66.7,0,0,1,400
Boubacar Kamara,forward,Marseille,cc77354e,17,2017,71,0.2,1,17,0,19,6,83.3,11,1.02,0,52.6,0,0,1,289
Bouna Sarr,midfielder,Marseille,1a4b9094,25,2017,77,1.1,25,97,2,47,71,62.0,22,1.33,0,52.9,0,1,0,625
Brais MГ©ndez,midfielder,Celta Vigo,c9e39d91,20,2017,73,1.7,10,23,0,11,16,50.0,16,-0.39,0,26.9,0,1,0,400
Bram Nuytinck,defender,Udinese,e33f36d5,27,2017,74,1.0,9,102,1,140,2,50.0,0,-0.14,0,61.6,1,0,0,729
Breel Embolo,forward,Schalke 04,0b4f388a,20,2017,76,4.1,14,20,0,4,66,30.3,0,0.17,0,30.2,0,0,1,400
Bryan Cristante,midfielder,Atalanta,16657b95,22,2017,78,8.2,41,89,0,39,83,62.7,0,0.66,0,52.7,0,1,0,484
Callum Hudson-Odoi,forward,Chelsea,15f3ec41,16,2017,68,0.1,0,0,0,0,5,100.0,0,1.6,0,0.0,0,0,1,256
Callum Wilson,forward,Bournemouth,c596fcb0,25,2017,78,7.6,21,12,0,18,43,39.5,0,-0.25,0,21.0,0,0,1,625
Calum Chambers,defender,Arsenal,dc6f5bdd,22,2017,75,1.4,7,35,0,70,10,70.0,0,0.29,0,49.1,1,0,0,484
Casemiro,midfielder,Real Madrid,4d224fe8,25,2017,88,3.3,21,172,3,123,17,64.7,0,0.94,0,61.5,0,1,0,625
Cengiz Гњnder,forward,Roma,1880614f,20,2017,77,4.6,21,19,0,10,38,60.5,0,1.09,0,26.3,0,0,1,400
Cenk Tosun,forward,Everton,9a104dee,26,2017,80,2.8,9,7,0,14,8,50.0,0,-0.09,0,32.0,0,0,1,676
Cesc FГ bregas,midfielder,Chelsea,33508c78,30,2017,84,2.4,38,90,2,51,24,75.0,0,0.59,0,31.3,0,1,0,900
Charles ArГЎnguiz,midfielder,Leverkusen,56413b1f,28,2017,81,2.8,28,123,2,45,44,38.6,0,0.64,0,31.0,0,1,0,784
Charlie Taylor,defender,Burnley,cc2d7ad5,23,2017,74,0.0,19,31,0,50,18,44.4,0,-0.67,0,65.7,1,0,0,529
Cheikhou KouyatГ©,midfielder,West Ham,8d3c902d,27,2017,76,2.7,25,103,1,61,33,60.6,0,-0.46,0,52.4,0,1,0,729
Chris Smalling,defender,Manchester Utd,b6964eb6,27,2017,81,1.7,10,103,1,175,3,100.0,0,0.12,0,69.2,1,0,0,729
Chris Wood,forward,Burnley,4e9a0555,25,2017,78,7.0,9,7,0,20,10,60.0,0,-0.33,0,44.4,0,0,1,625
Christian Benteke,forward,Crystal Palace,ab070c55,26,2017,78,10.2,14,14,0,50,26,61.5,0,0.13,0,56.9,0,0,1,676
Christian Eriksen,midfielder,Tottenham,980522ec,25,2017,88,7.0,57,82,0,19,53,54.7,0,0.85,0,38.6,0,1,0,625
Christian GГјnter,forward,Freiburg,8593f88c,24,2017,75,1.9,82,93,0,76,69,49.3,0,-0.19,0,27.8,0,0,1,576
Christian Pulisic,forward,Dortmund,1bf33a9a,18,2017,79,5.2,50,62,0,7,182,42.3,0,0.68,0,21.6,0,0,1,324
Christoph Kramer,midfielder,M'Gladbach,496aeede,26,2017,81,1.7,23,132,1,63,56,48.2,0,-0.24,0,45.2,0,1,0,676
Christophe HГ©relle,defender,Troyes,3681cfff,24,2017,76,1.7,10,95,1,257,5,20.0,0,-0.38,0,66.7,1,0,0,576
Christopher Nkunku,forward,Paris S-G,7c56da38,19,2017,76,2.4,3,10,1,9,19,68.4,12,1.6,0,50.0,0,0,1,361
Ciaran Clark,defender,Newcastle Utd,2b91cf8e,27,2017,76,1.7,8,42,1,152,5,80.0,0,-0.39,0,50.7,1,0,0,729
Ciro Immobile,forward,Lazio,4431aed2,27,2017,87,20.7,34,4,0,9,49,51.0,0,0.65,0,39.5,0,0,1,729
ClГ©ment Lenglet,defender,Sevilla,4f28a6ff,22,2017,82,2.6,15,102,1,216,14,85.7,48,0.21,0,63.1,1,0,0,484
Corentin Jean,forward,Toulouse,7d9b37bf,22,2017,74,2.0,26,26,0,9,34,64.7,21,-0.24,0,31.9,0,0,1,484
Corentin Tolisso,midfielder,Bayern Munich,652d4c37,22,2017,83,4.5,24,49,0,20,21,23.8,0,1.21,0,42.6,0,1,0,484
Cristiano Biraghi,defender,Fiorentina,9e1577aa,24,2017,75,1.6,52,117,2,96,18,55.6,0,0.45,0,50.8,1,0,0,576
Damien Da Silva,defender,Caen,1ec7e1c5,29,2017,78,1.7,9,88,2,201,9,100.0,0,-0.09,3,54.9,1,0,0,841
DamiГЎn SuГЎrez,defender,Getafe,ba5004e1,29,2017,77,0.6,54,132,1,91,83,41.0,0,0.24,0,40.4,1,0,0,841
Daniel Caligiuri,forward,Schalke 04,d1273f09,29,2017,80,4.3,62,167,0,66,101,55.4,0,0.19,0,52.0,0,0,1,841
Daniel Ginczek,forward,Stuttgart,e5f63987,26,2017,78,7.8,15,13,0,12,30,43.3,0,0.12,0,39.8,0,0,1,676
Daniel Wass,forward,Celta Vigo,d83bbc54,28,2017,82,3.7,37,60,0,59,24,45.8,10,-0.07,0,47.9,0,0,1,784
Daniele Baselli,midfielder,Torino,ea06dd97,25,2017,79,3.8,35,120,1,62,35,62.9,0,0.16,0,53.2,0,1,0,625
Daniele Rugani,defender,Juventus,14b8fcdf,23,2017,82,1.0,5,38,1,120,2,0.0,0,0.72,0,58.0,1,0,0,529
Danilo,defender,Manchester City,94b2001f,26,2017,79,1.1,17,62,0,32,13,61.5,0,1.27,0,72.7,1,0,0,676
Danilo Cataldi,midfielder,Benevento,ba3d3bea,22,2017,75,1.5,19,70,1,41,31,74.2,0,-1.13,0,16.7,0,1,0,484
Danilo D'Ambrosio,defender,Inter,44eb9093,28,2017,76,2.7,50,127,1,98,32,46.9,0,0.51,0,60.4,1,0,0,784
Danny Ings,forward,Liverpool,07802f7f,25,2017,76,1.1,5,7,0,3,4,25.0,0,1.54,0,30.8,0,0,1,625
Danny Welbeck,forward,Arsenal,ce5143da,26,2017,77,5.5,7,31,0,21,23,60.9,0,0.26,0,41.1,0,0,1,676
Danny da Costa,midfielder,Eint Frankfurt,5ddb8f9f,24,2017,78,0.8,31,54,0,33,17,35.3,0,0.18,0,47.6,0,1,0,576
Dante,defender,Nice,fd2bc67d,33,2017,80,2.4,7,90,2,261,10,80.0,0,-0.03,1,60.8,1,0,0,1089
Darko LazoviД‡,forward,Genoa,5128bde4,26,2017,74,0.5,27,32,0,18,34,64.7,0,0.27,0,33.3,0,0,1,676
David Alaba,defender,Bayern Munich,05439de2,25,2017,85,1.3,37,33,0,45,34,35.3,0,1.6,0,46.9,1,0,0,625
David Silva,midfielder,Manchester City,e2716bd0,31,2017,89,7.2,43,50,0,22,49,77.6,0,1.47,0,58.3,0,1,0,961
Davide Biraschi,defender,Genoa,64cd167d,23,2017,69,0.6,24,71,0,85,30,80.0,0,0.02,0,54.2,1,0,0,529
Davide Calabria,defender,Milan,2146785a,20,2017,77,0.8,35,97,1,58,19,68.4,0,0.47,0,54.8,1,0,0,400
Davide Zappacosta,forward,Chelsea,7fe90ccd,25,2017,79,1.4,33,32,0,20,37,37.8,0,0.83,0,70.0,0,0,1,625
Davie Selke,forward,Hertha BSC,1238a3f9,22,2017,77,7.7,19,15,1,25,59,42.4,0,0.0,0,49.5,0,0,1,484
Davinson SГЎnchez,defender,Tottenham,da7b447d,21,2017,84,0.5,6,76,0,146,9,100.0,0,0.84,1,54.5,1,0,0,441
Dayot Upamecano,defender,RB Leipzig,d248cd8f,18,2017,76,1.1,17,112,1,133,19,68.4,0,0.16,0,65.6,1,0,0,324
Declan Rice,forward,West Ham,1c7012b8,18,2017,69,0.2,9,63,1,91,3,66.7,0,-0.56,0,47.0,0,0,1,324
Dele Alli,midfielder,Tottenham,cea4ee8f,21,2017,84,9.1,39,65,1,33,105,41.9,0,0.87,0,36.4,0,1,0,441
Demarai Gray,midfielder,Leicester City,4468ec10,21,2017,76,2.5,29,28,1,13,63,60.3,0,-0.2,0,17.2,0,1,0,441
Denis Zakaria,midfielder,M'Gladbach,384d58d9,20,2017,77,1.5,21,119,1,68,62,48.4,0,-0.06,0,41.5,0,1,0,400
Dennis Geiger,midfielder,Hoffenheim,37f606f0,19,2017,70,1.9,11,67,0,18,24,41.7,0,0.11,0,40.0,0,1,0,361
Dennis Praet,midfielder,Sampdoria,86695068,23,2017,76,2.0,45,122,0,23,84,69.0,0,-0.15,0,31.3,0,1,0,529
Diego Demme,midfielder,RB Leipzig,dc3fa3b5,25,2017,79,0.5,39,129,0,44,26,53.8,0,0.19,0,22.6,0,1,0,625
Diego GodГ­n,defender,AtlГ©tico Madrid,fc4f85b1,31,2017,90,1.9,6,109,1,212,7,85.7,37,0.43,0,65.9,1,0,0,961
Diego Llorente,defender,Real Sociedad,bba30585,23,2017,76,2.3,10,73,0,140,18,88.9,25,0.05,0,55.3,1,0,0,529
Dimitri LiГ©nard,midfielder,Strasbourg,f7691f63,29,2017,76,3.4,36,129,1,43,52,65.4,28,-0.14,0,30.0,0,1,0,841
Dimitri Payet,midfielder,Marseille,58ae47b2,30,2017,84,8.0,28,41,1,4,57,78.9,28,1.11,0,25.0,0,1,0,900
Divock Origi,forward,Wolfsburg,43a166b4,22,2017,77,7.2,17,9,0,19,60,48.3,0,-0.69,0,41.7,0,0,1,484
Domenico Berardi,forward,Sassuolo,53a0e358,22,2017,78,8.9,50,48,1,18,58,62.1,0,-0.02,0,32.0,0,0,1,484
Dominic Calvert-Lewin,forward,Everton,59e6e5bf,20,2017,74,4.9,19,25,1,22,43,48.8,0,-0.24,0,44.2,0,0,1,400
Dominik Kohr,midfielder,Leverkusen,0fbecd11,23,2017,77,3.9,25,79,0,36,19,57.9,0,0.44,0,37.9,0,1,0,529
Dominique Heintz,defender,KГ¶ln,699fb8db,23,2017,77,0.5,19,113,0,209,17,52.9,0,-0.69,0,52.1,1,0,0,529
Douglas Luiz,midfielder,Girona,6f7d826d,19,2017,73,0.7,3,14,0,2,4,100.0,16,-0.79,0,33.3,0,1,0,361
Dries Mertens,forward,Napoli,89b2c8a9,30,2017,87,17.9,29,33,1,11,88,47.7,0,1.06,0,11.1,0,0,1,900
DuvГЎn Zapata,forward,Sampdoria,d3de9af0,26,2017,79,9.7,30,17,1,23,54,51.9,0,-0.19,0,45.0,0,0,1,676
Eden Hazard,forward,Chelsea,a39bb753,26,2017,91,7.7,32,9,0,1,200,82.5,0,0.63,0,29.6,0,0,1,676
Edimilson Fernandes,forward,West Ham,3bb625ac,21,2017,71,0.3,9,33,0,7,13,76.9,0,-1.2,0,38.5,0,0,1,441
Edin DЕѕeko,forward,Roma,3bb7f478,31,2017,85,17.4,35,19,0,36,63,65.1,0,0.68,0,63.0,0,0,1,961
Edinson Cavani,forward,Paris S-G,527f063d,30,2017,89,23.4,15,20,0,24,26,57.7,20,1.48,0,47.1,0,0,1,900
Edoardo Goldaniga,defender,Sassuolo,4b029b31,23,2017,74,0.4,6,33,0,49,4,100.0,0,0.16,0,51.4,1,0,0,529
Ellyes Skhiri,midfielder,Montpellier,c2211709,22,2017,76,2.3,26,166,4,55,50,82.0,0,0.07,0,50.7,0,1,0,484
Elseid Hysaj,defender,Napoli,2f3452eb,23,2017,81,0.4,52,107,4,74,47,51.1,0,1.04,0,48.1,1,0,0,529
Emil Forsberg,midfielder,RB Leipzig,9a2e0ccc,25,2017,82,3.3,22,32,0,6,68,58.8,0,0.3,0,30.0,0,1,0,625
Emil Krafth,defender,Bologna,77cf6852,22,2017,74,0.3,11,39,1,40,7,71.4,0,-1.07,0,43.3,1,0,0,484
Emre Can,midfielder,Liverpool,a65ce836,23,2017,80,1.8,19,95,1,52,32,75.0,0,0.98,0,47.9,0,1,0,529
Enes Гњnal,forward,Villarreal,f8eca1b6,20,2017,78,4.9,14,13,0,16,22,40.9,22,-0.12,0,46.6,0,0,1,400
Enis Bardhi,midfielder,Levante,cac2537b,22,2017,78,3.1,14,55,0,17,43,58.1,26,-0.09,0,21.1,0,1,0,484
Eric Bailly,defender,Manchester Utd,a1232f4e,23,2017,82,1.1,4,42,1,76,4,100.0,0,0.54,1,68.0,1,0,0,529
Eric Dier,forward,Tottenham,ac861941,23,2017,80,2.0,29,109,7,133,15,86.7,0,0.87,0,57.0,0,0,1,529
Erick Cabaco,defender,Levante,e7ab4179,22,2017,75,0.6,4,42,2,89,4,50.0,7,-0.62,0,59.4,1,0,0,484
Erik Thommy,midfielder,Stuttgart,df8e7b62,22,2017,75,2.5,13,28,1,9,22,31.8,0,0.31,0,31.3,0,1,0,484
Ermin BiДЌakДЌiД‡,defender,Hoffenheim,7aac47fe,27,2017,75,0.5,5,26,0,32,3,33.3,0,-0.98,0,48.0,1,0,0,729
Fabian SchГ¤r,defender,La CoruГ±a,c8aa95da,25,2017,75,3.0,3,104,1,186,20,70.0,0,-0.47,0,55.1,1,0,0,625
Fabinho,midfielder,Monaco,7f3b388c,23,2017,85,5.8,18,157,0,71,51,72.5,0,0.37,0,67.6,0,1,0,529
Fabio Quagliarella,forward,Sampdoria,ee4f2f3b,34,2017,82,18.3,37,18,0,22,33,54.5,0,0.0,0,47.8,0,0,1,1156
Federico Bernardeschi,forward,Juventus,ee93c1a9,23,2017,82,2.8,12,19,1,18,31,74.2,0,0.74,0,66.7,0,0,1,529
Federico Ceccherini,defender,Crotone,d9624b51,25,2017,72,1.6,12,118,1,304,21,81.0,0,-0.64,0,56.1,1,0,0,625
Federico Chiesa,forward,Fiorentina,b0f7e36c,19,2017,79,7.0,53,80,0,15,140,54.3,0,0.46,0,25.8,0,0,1,361
Federico Fazio,defender,Roma,4e358a2d,30,2017,82,2.4,12,102,3,222,23,69.6,0,0.68,0,78.6,1,0,0,900
Federico FernГЎndez,defender,Swansea City,f25b010f,28,2017,76,0.7,8,78,1,247,4,25.0,0,-0.81,1,54.5,1,0,0,784
Federico Valverde,midfielder,La CoruГ±a,0959c2a2,19,2017,73,0.8,16,46,0,14,13,53.8,28,-0.28,0,51.7,0,1,0,361
Ferland Mendy,defender,Lyon,3cefcaef,22,2017,79,0.8,37,70,0,56,70,68.6,10,0.62,0,59.7,1,0,0,484
Filip KostiД‡,forward,Hamburger SV,b1cd37e6,24,2017,77,8.2,57,58,0,11,123,27.6,0,-0.42,0,31.9,0,0,1,576
Flavien Tait,midfielder,Angers,a0f9b535,24,2017,74,4.0,40,70,1,14,101,68.3,25,0.04,0,10.5,0,1,0,576
Florent Mollet,midfielder,Metz,7e82a78f,25,2017,76,4.3,18,36,0,14,37,56.8,20,-0.79,0,20.8,0,1,0,625
Florian Kainz,midfielder,Werder Bremen,94c18565,24,2017,76,3.1,44,50,0,11,58,46.6,0,-0.15,0,39.4,0,1,0,576
Florian Lejeune,defender,Newcastle Utd,6eaed4eb,26,2017,78,0.6,8,80,0,162,13,92.3,0,-0.37,0,61.7,1,0,0,676
Florian Niederlechner,forward,Freiburg,d6862409,26,2017,75,3.1,5,11,0,5,25,8.0,0,-0.32,0,29.4,0,0,1,676
Francesco Acerbi,defender,Sassuolo,b96b595c,29,2017,83,1.0,9,139,1,299,23,73.9,0,-0.07,1,72.0,1,0,0,841
Francis Coquelin,forward,Valencia,a6951bf8,26,2017,79,0.3,4,38,0,21,18,77.8,18,-0.32,0,76.9,0,0,1,676
Gabriel Jesus,forward,Manchester City,b66315ae,20,2017,83,13.8,16,31,0,3,37,64.9,0,1.69,0,32.3,0,0,1,400
Gabriel Silva,defender,Saint-Г‰tienne,4914ed4a,26,2017,72,0.7,38,65,1,85,28,64.3,25,0.15,0,48.2,1,0,0,676
