"Player","Pos","Squad","id","Age","Season","RATING","xG","xA","Blocks","Tkl+Int","Err","Def Pen","Att Pen","Att.5","Succ%","TotDist.1","Mn/Sub","onxG","xG+/-90","OG","Recov","Won%","def","mid","forw","Age^2"
"Albin Ekdal","midfielder","Hamburger SV","f503ea63","28","2017","76","0.5","1.1","20","60","0","30","16","16","43.8","1917","0","13.7","-0.22","0","65","48.3","0","1","0","784"
"Alessandro Bastoni","defender","Atalanta","75b86fb3","18","2017","67","0","0.1","4","3","0","2","5","3","66.7","235","0","1.2","0.68","0","6","0","1","0","0","324"
"Alessandro Florenzi","defender","Roma","e288d4b3","26","2017","82","3.8","4.4","43","82","1","69","69","34","52.9","6017","0","45.2","0.74","0","165","33.3","1","0","0","676"
"Alessandro SchГ¶pf","midfielder","Schalke 04","106bca06","23","2017","77","0.4","0.4","16","37","1","16","13","36","36.1","1910","0","10.5","0.07","0","71","38.1","0","1","0","529"
"Alessio Romagnoli","defender","Milan","3ead85f9","22","2017","82","1.1","0.3","11","43","1","157","15","2","100","4068","0","35.8","0.46","0","96","65.7","1","0","0","484"
"Alex Ferrari","defender","Hellas Verona","d0dbca9f","23","2017","70","0.8","0.3","34","120","4","142","10","33","57.6","3363","0","18.9","-1.04","0","115","55.9","1","0","0","529"
"Alex Iwobi","midfielder","Arsenal","6ca5ec4b","21","2017","76","3.9","3.6","27","26","1","16","80","52","69.2","6230","0","35.6","0.5","0","110","17.6","0","1","0","441"
"Alex Oxlade-Chamberlain","midfielder","Liverpool","38c7feef","23","2017","80","2.2","3.2","12","52","0","13","46","54","74.1","4046","0","30.7","0.95","0","91","27","0","1","0","529"
"Alex Sandro","defender","Juventus","0d82903c","26","2017","86","1.6","3.1","36","87","0","58","43","71","74.6","7225","0","36.6","0.87","0","144","61.3","1","0","0","676"
"Alexander Djiku","defender","Caen","43e7a164","22","2017","76","1.6","0.2","2","122","2","117","22","7","85.7","4598","0","30.4","-0.05","0","187","62.8","1","0","0","484"
"Alexander Hack","defender","Mainz 05","a5ec3ede","23","2017","74","0.7","0.7","11","72","2","114","19","7","71.4","2062","0","16.1","-0.28","0","60","69.9","1","0","0","529"
"Alexandre Lacazette","forward","Arsenal","9dbb75ca","26","2017","85","13.7","4","21","31","0","8","173","45","73.3","2501","0","46.9","0.8","0","53","32.6","0","0","1","676"
"Alexis SГЎnchez","midfielder","Arsenal","2c0f8e9e","28","2017","87","8.1","6.4","31","26","0","9","104","60","66.7","5393","0","30.8","0.6","0","48","36.8","0","1","0","784"
"Alfred Duncan","midfielder","Sassuolo","528492ea","24","2017","75","2","2","43","58","1","40","40","51","66.7","3408","0","28.1","0.09","0","144","37.8","0","1","0","576"
"Allan Saint-Maximin","forward","Nice","2b16cb1a","20","2017","79","3.9","5.3","38","29","0","8","121","167","64.7","8358","28","37.2","0.24","0","110","40","0","0","1","400"
"Almamy TourГ©","defender","Monaco","c8c60119","21","2017","74","0.4","1.7","20","73","0","53","16","19","68.4","1927","14","18.3","-0.35","0","82","59.3","1","0","0","441"
"Amadou Diawara","midfielder","Napoli","bf309d24","20","2017","77","0.2","0.5","3","20","0","11","1","2","100","1546","0","14.3","1.14","0","65","33.3","0","1","0","400"
"Ambroise Oyongo","defender","Montpellier","e3e05edf","26","2017","73","0","0.2","6","8","0","3","2","8","75","392","0","1.5","-0.2","0","7","25","1","0","0","676"
"Amine Harit","midfielder","Schalke 04","e7d59f4f","20","2017","78","3.6","3.2","15","58","0","7","54","118","44.9","6047","0","32.3","0.23","0","135","41.4","0","1","0","400"
"Anastasios Donis","midfielder","Stuttgart","0f26fd24","20","2017","73","4.4","1.4","13","29","0","7","36","80","51.3","2565","0","13.2","-0.27","0","40","36","0","1","0","400"
"Ander Herrera","midfielder","Manchester Utd","436a9dd0","27","2017","82","0.4","1.6","6","90","2","50","14","14","71.4","2790","0","15.5","-0.25","0","104","47.4","0","1","0","729"
"Andrea Conti","defender","Milan","8fef5412","23","2017","75","0","0.2","3","5","0","6","3","1","100","264","0","2.9","1.12","0","9","100","1","0","0","529"
"Andrea Petagna","forward","Atalanta","03f946ed","22","2017","75","4.7","2.6","26","12","0","5","137","52","53.8","3222","0","24.5","0.41","0","61","50","0","0","1","484"
"Andrea Ranocchia","defender","Inter","539230cf","29","2017","76","0.8","0","0","20","0","40","9","1","100","912","0","9.2","0.48","1","38","83.3","1","0","0","841"
"Andreas Christensen","defender","Chelsea","1cb49278","21","2017","82","0.9","0.9","6","65","5","150","22","5","100","4823","0","34.3","0.65","0","139","67.9","1","0","0","441"
"Andrei Girotto","midfielder","Nantes","3befc2b6","25","2017","70","1.4","0.8","18","72","1","44","27","15","60","1940","15","18.4","0.24","0","96","58.2","0","1","0","625"
"Andrej KramariД‡","forward","Hoffenheim","603cb947","26","2017","83","9.6","7.1","29","14","0","4","106","53","37.7","4747","0","38.4","0.08","0","65","25","0","0","1","676"
"Andrew Robertson","defender","Liverpool","2e4f5f03","23","2017","83","0.5","3.4","42","57","0","60","46","17","52.9","5265","0","43.3","1.27","0","140","62.5","1","0","0","529"
"Andriy Yarmolenko","forward","Dortmund","849c826a","27","2017","80","4.8","3.2","9","24","0","8","66","44","36.4","2712","0","24.1","0.96","0","42","40.9","0","0","1","729"
"Andros Townsend","forward","Crystal Palace","b28bbd58","26","2017","78","3","5.4","49","95","0","29","88","122","68.9","8832","0","47.9","0.15","0","182","18.8","0","0","1","676"
"AndrГ© Hahn","forward","Hamburger SV","cd82452e","26","2017","73","3.5","1.1","31","43","0","26","56","31","12.9","1349","0","13.9","-0.59","0","43","45.2","0","0","1","676"
"AndrГ©s Guardado","midfielder","Betis","ef322658","30","2017","82","2.5","4.9","30","63","1","42","21","33","66.7","6048","30","30.8","-0.02","0","166","48.6","0","1","0","900"
"Andy Delort","forward","Toulouse","d33c706e","25","2017","75","9","4.3","38","32","0","17","103","41","46.3","2542","31","34","-0.04","0","60","49.5","0","0","1","625"
"Angelo Fulgini","midfielder","Angers","4b96c347","20","2017","74","3.1","3.6","23","41","0","13","45","40","65","2683","30","21.7","0.01","0","102","20.9","0","1","0","400"
"Angelo Ogbonna","defender","West Ham","74b2cd7e","29","2017","78","0.7","0.2","10","88","1","215","16","11","81.8","3619","0","32","-0.55","0","135","52.7","1","0","0","841"
"Ante RebiД‡","forward","Eint Frankfurt","536cebe5","23","2017","79","4.7","3.4","46","43","0","13","97","90","42.2","3121","0","23.8","0.07","0","62","35.9","0","0","1","529"
"Anthony Martial","forward","Manchester Utd","8b788c01","21","2017","84","6.3","4.6","35","18","0","11","120","83","51.8","5334","0","27","0.28","0","79","36.8","0","0","1","441"
"Antoine Griezmann","forward","AtlГ©tico Madrid","df69b544","26","2017","89","13.1","4.7","32","46","0","21","102","46","60.9","4324","30","39","0.52","0","120","29.4","0","0","1","676"
"Antonio Candreva","forward","Inter","356c9002","30","2017","81","4","7.1","65","34","0","21","84","76","65.8","9069","0","39.3","0.34","0","130","0","0","0","1","900"
"Antonio RГјdiger","defender","Chelsea","18b896d6","24","2017","81","1.7","0.7","7","55","1","123","20","10","80","6974","0","37.8","0.7","0","175","60.4","1","0","0","576"
"Antonio Sanabria","forward","Betis","0a447501","21","2017","79","5.1","0.7","4","12","0","7","34","11","54.5","723","23","12.9","0.03","0","20","39","0","0","1","441"
"AntonГ­n BarГЎk","midfielder","Udinese","01efac19","22","2017","77","2.8","2.2","35","76","1","33","53","55","56.4","5759","0","33.3","-0.12","0","172","50.8","0","1","0","484"
"Arkadiusz Milik","forward","Napoli","85613cf0","23","2017","82","4.5","0.4","6","3","0","6","25","4","50","515","0","11.9","1.45","0","11","19","0","0","1","529"
"Armando Izzo","defender","Genoa","89976232","25","2017","76","0.9","0.3","10","64","0","77","9","8","87.5","2732","0","18.8","0.21","0","111","65.9","1","0","0","625"
"Arne Maier","midfielder","Hertha BSC","ab700320","18","2017","72","1","1.4","15","53","0","22","8","12","50","1863","0","21","0.19","0","63","33.3","0","1","0","324"
"Arthur Masuaku","defender","West Ham","57df7a11","23","2017","76","0.3","1.3","45","84","1","76","24","129","64.3","5923","0","21.2","-0.29","0","143","54.8","1","0","0","529"
"Ashley Barnes","forward","Burnley","2691c772","27","2017","77","6.7","1.8","17","23","0","21","94","25","64","2070","0","23","-0.4","0","87","27.1","0","0","1","729"
"Ashley Westwood","midfielder","Burnley","495945ef","27","2017","75","0.6","0.7","3","32","0","26","7","4","50","1243","0","13.4","-0.3","0","84","64.3","0","1","0","729"
"Ashley Young","defender","Manchester Utd","be927d03","32","2017","80","0.8","4.2","42","110","1","96","23","52","55.8","5495","0","37","0.19","0","168","47.5","1","0","0","1024"
"Aymen Barkok","forward","Eint Frankfurt","a2a85828","19","2017","69","0.1","0.4","5","13","0","3","6","10","40","444","0","2.3","-0.44","0","21","30.8","0","0","1","361"
"Aymeric Laporte","defender","Athletic Club","119b9a8e","23","2017","84","0.7","0.9","6","65","1","108","16","6","66.7","3208","0","27.7","0","1","97","70.1","1","0","0","529"
"AГЇssa Mandi","defender","Betis","fbd6378b","25","2017","79","3.3","0.5","7","125","3","218","21","16","81.3","7026","0","41.2","-0.01","0","135","57.3","1","0","0","625"
"Baptiste Santamaria","midfielder","Angers","5e22e2a4","22","2017","75","0.6","1.4","16","102","2","64","8","25","88","4193","40","33.2","-0.06","0","179","55.8","0","1","0","484"
"Bartosz BereszyЕ„ski","defender","Sampdoria","61b3978f","25","2017","73","0.1","1","56","93","2","97","5","34","73.5","4563","0","36.7","-0.34","0","154","53.1","1","0","0","625"
"Ben Chilwell","defender","Leicester City","d2424d1b","20","2017","76","0.2","2.4","50","64","3","61","18","52","59.6","5186","0","29.2","0.22","0","129","52","1","0","0","400"
"Ben Davies","defender","Tottenham","44781702","24","2017","81","1.1","3.8","69","75","1","72","37","21","71.4","4422","0","44.4","0.88","0","110","47.4","1","0","0","576"
"Ben Mee","defender","Burnley","8df7a2fb","27","2017","80","1.9","0.4","8","66","1","213","41","3","100","2680","0","24.9","-0.5","0","153","59.2","1","0","0","729"
"Benjamin AndrГ©","midfielder","Rennes","ef9c1c95","26","2017","77","4.3","1.6","39","150","1","81","50","44","79.5","5078","0","43.8","0.1","0","259","55.3","0","1","0","676"
"Benjamin Bourigeaud","midfielder","Rennes","20e73fac","23","2017","77","8.8","7.8","53","100","0","38","51","48","47.9","4809","29","45.9","0","0","212","18.8","0","1","0","529"
"Benjamin Henrichs","defender","Leverkusen","0a89e877","20","2017","76","0.8","1.5","44","73","0","45","33","22","31.8","2862","0","27.1","0.59","0","88","52.6","1","0","0","400"
"Benjamin Pavard","defender","Stuttgart","45a03961","21","2017","80","1","1.7","18","125","1","242","25","15","66.7","4392","0","40.3","-0.09","0","124","53.8","1","0","0","441"
"Berat Djimsiti","defender","Benevento","6eee05f1","24","2017","67","1","0.5","8","94","1","293","22","10","80","7610","0","30.9","-0.78","0","164","65.2","1","0","0","576"
"Bernardo Silva","forward","Manchester City","3eb22ec9","22","2017","84","3.8","2.6","22","37","1","9","95","41","70.7","5218","0","32","1.26","0","73","26.3","0","0","1","484"
"Bertrand TraorГ©","forward","Lyon","c47541e0","21","2017","79","8.9","2.6","17","71","1","27","112","82","63.4","6419","19","43.1","0.76","0","105","63.4","0","0","1","441"
"Borja Mayoral","forward","Real Madrid","64e8ed6d","20","2017","75","3.1","0.3","2","6","0","1","22","9","77.8","546","11","10.9","1.5","0","15","66.7","0","0","1","400"
"Boubacar Kamara","forward","Marseille","cc77354e","17","2017","71","0.2","0.1","1","17","0","19","4","6","83.3","923","11","10.9","1.02","0","31","52.6","0","0","1","289"
"Bouna Sarr","midfielder","Marseille","1a4b9094","25","2017","77","1.1","2.8","25","97","2","47","25","71","62","6427","22","45.4","1.33","0","163","52.9","0","1","0","625"
"Brais MГ©ndez","midfielder","Celta Vigo","c9e39d91","20","2017","73","1.7","1.5","10","23","0","11","28","16","50","1499","16","13.1","-0.39","0","60","26.9","0","1","0","400"
"Bram Nuytinck","defender","Udinese","e33f36d5","27","2017","74","1","0.5","9","102","1","140","24","2","50","4496","0","31.6","-0.14","0","101","61.6","1","0","0","729"
"Breel Embolo","forward","Schalke 04","0b4f388a","20","2017","76","4.1","0.4","14","20","0","4","34","66","30.3","1666","0","15.3","0.17","0","38","30.2","0","0","1","400"
"Bryan Cristante","midfielder","Atalanta","16657b95","22","2017","78","8.2","4.5","41","89","0","39","121","83","62.7","6113","0","51.2","0.66","0","200","52.7","0","1","0","484"
"Callum Hudson-Odoi","forward","Chelsea","15f3ec41","16","2017","68","0.1","0","0","0","0","0","2","5","100","199","0","0.7","1.6","0","0","0","0","0","1","256"
"Callum Wilson","forward","Bournemouth","c596fcb0","25","2017","78","7.6","1.2","21","12","0","18","108","43","39.5","2018","0","25.2","-0.25","0","64","21","0","0","1","625"
"Calum Chambers","defender","Arsenal","dc6f5bdd","22","2017","75","1.4","0.2","7","35","0","70","14","10","70","2129","0","15.3","0.29","0","71","49.1","1","0","0","484"
"Casemiro","midfielder","Real Madrid","4d224fe8","25","2017","88","3.3","2.3","21","172","3","123","29","17","64.7","4719","0","60.5","0.94","0","242","61.5","0","1","0","625"
"Cengiz Гњnder","forward","Roma","1880614f","20","2017","77","4.6","2.2","21","19","0","10","70","38","60.5","2982","0","26.6","1.09","0","57","26.3","0","0","1","400"
"Cenk Tosun","forward","Everton","9a104dee","26","2017","80","2.8","0.7","9","7","0","14","33","8","50","728","0","11.8","-0.09","0","30","32","0","0","1","676"
"Cesc FГ bregas","midfielder","Chelsea","33508c78","30","2017","84","2.4","7.6","38","90","2","51","66","24","75","5986","0","37.9","0.59","0","171","31.3","0","1","0","900"
"Charles ArГЎnguiz","midfielder","Leverkusen","56413b1f","28","2017","81","2.8","1.6","28","123","2","45","36","44","38.6","5194","0","42.9","0.64","0","177","31","0","1","0","784"
"Charlie Taylor","defender","Burnley","cc2d7ad5","23","2017","74","0","0.2","19","31","0","50","2","18","44.4","1453","0","8.6","-0.67","0","57","65.7","1","0","0","529"
"Cheikhou KouyatГ©","midfielder","West Ham","8d3c902d","27","2017","76","2.7","0.6","25","103","1","61","40","33","60.6","3476","0","29.5","-0.46","0","188","52.4","0","1","0","729"
"Chris Smalling","defender","Manchester Utd","b6964eb6","27","2017","81","1.7","0.3","10","103","1","175","23","3","100","3125","0","36.2","0.12","0","139","69.2","1","0","0","729"
"Chris Wood","forward","Burnley","4e9a0555","25","2017","78","7","0.5","9","7","0","20","70","10","60","1177","0","17","-0.33","0","46","44.4","0","0","1","625"
"Christian Benteke","forward","Crystal Palace","ab070c55","26","2017","78","10.2","1.7","14","14","0","50","129","26","61.5","2123","0","36.3","0.13","0","50","56.9","0","0","1","676"
"Christian Eriksen","midfielder","Tottenham","980522ec","25","2017","88","7","10.7","57","82","0","19","93","53","54.7","8387","0","62.2","0.85","0","227","38.6","0","1","0","625"
"Christian GГјnter","forward","Freiburg","8593f88c","24","2017","75","1.9","4.3","82","93","0","76","35","69","49.3","6015","0","39.6","-0.19","0","108","27.8","0","0","1","576"
"Christian Pulisic","forward","Dortmund","1bf33a9a","18","2017","79","5.2","5.3","50","62","0","7","126","182","42.3","6637","0","48.9","0.68","0","97","21.6","0","0","1","324"
"Christoph Kramer","midfielder","M'Gladbach","496aeede","26","2017","81","1.7","0.7","23","132","1","63","16","56","48.2","4518","0","31.4","-0.24","0","143","45.2","0","1","0","676"
"Christophe HГ©relle","defender","Troyes","3681cfff","24","2017","76","1.7","0.3","10","95","1","257","21","5","20","4832","0","33","-0.38","0","174","66.7","1","0","0","576"
"Christopher Nkunku","forward","Paris S-G","7c56da38","19","2017","76","2.4","0.6","3","10","1","9","27","19","68.4","1753","12","18.6","1.6","0","31","50","0","0","1","361"
"Ciaran Clark","defender","Newcastle Utd","2b91cf8e","27","2017","76","1.7","0.4","8","42","1","152","24","5","80","2177","0","22.5","-0.39","0","95","50.7","1","0","0","729"
"Ciro Immobile","forward","Lazio","4431aed2","27","2017","87","20.7","3.9","34","4","0","9","190","49","51","4776","0","50.6","0.65","0","67","39.5","0","0","1","729"
"ClГ©ment Lenglet","defender","Sevilla","4f28a6ff","22","2017","82","2.6","0.5","15","102","1","216","29","14","85.7","5669","48","54.3","0.21","0","164","63.1","1","0","0","484"
"Corentin Jean","forward","Toulouse","7d9b37bf","22","2017","74","2","3.1","26","26","0","9","31","34","64.7","2854","21","21.7","-0.24","0","78","31.9","0","0","1","484"
"Corentin Tolisso","midfielder","Bayern Munich","652d4c37","22","2017","83","4.5","3.6","24","49","0","20","43","21","23.8","4001","0","36.5","1.21","0","64","42.6","0","1","0","484"
"Cristiano Biraghi","defender","Fiorentina","9e1577aa","24","2017","75","1.6","4.4","52","117","2","96","25","18","55.6","4379","0","50.1","0.45","0","166","50.8","1","0","0","576"
"Damien Da Silva","defender","Caen","1ec7e1c5","29","2017","78","1.7","0.3","9","88","2","201","27","9","100","4435","0","36.1","-0.09","3","249","54.9","1","0","0","841"
"DamiГЎn SuГЎrez","defender","Getafe","ba5004e1","29","2017","77","0.6","3.2","54","132","1","91","15","83","41","3365","0","38.7","0.24","0","187","40.4","1","0","0","841"
"Daniel Caligiuri","forward","Schalke 04","d1273f09","29","2017","80","4.3","4.1","62","167","0","66","59","101","55.4","7050","0","45","0.19","0","235","52","0","0","1","841"
"Daniel Ginczek","forward","Stuttgart","e5f63987","26","2017","78","7.8","1.2","15","13","0","12","78","30","43.3","1419","0","21.6","0.12","0","33","39.8","0","0","1","676"
"Daniel Wass","forward","Celta Vigo","d83bbc54","28","2017","82","3.7","4.8","37","60","0","59","62","24","45.8","4373","10","47.6","-0.07","0","164","47.9","0","0","1","784"
"Daniele Baselli","midfielder","Torino","ea06dd97","25","2017","79","3.8","2","35","120","1","62","41","35","62.9","5302","0","36.7","0.16","0","199","53.2","0","1","0","625"
"Daniele Rugani","defender","Juventus","14b8fcdf","23","2017","82","1","0.5","5","38","1","120","13","2","0","5774","0","32","0.72","0","93","58","1","0","0","529"
"Danilo","defender","Manchester City","94b2001f","26","2017","79","1.1","0.8","17","62","0","32","29","13","61.5","3547","0","30.1","1.27","0","65","72.7","1","0","0","676"
"Danilo Cataldi","midfielder","Benevento","ba3d3bea","22","2017","75","1.5","2.1","19","70","1","41","26","31","74.2","5618","0","21.4","-1.13","0","180","16.7","0","1","0","484"
"Danilo D'Ambrosio","defender","Inter","44eb9093","28","2017","76","2.7","1.9","50","127","1","98","45","32","46.9","5042","0","49.7","0.51","0","195","60.4","1","0","0","784"
"Danny Ings","forward","Liverpool","07802f7f","25","2017","76","1.1","0.1","5","7","0","3","20","4","25","246","0","5.6","1.54","0","8","30.8","0","0","1","625"
"Danny Welbeck","forward","Arsenal","ce5143da","26","2017","77","5.5","1.1","7","31","0","21","59","23","60.9","2180","0","20.1","0.26","0","38","41.1","0","0","1","676"
"Danny da Costa","midfielder","Eint Frankfurt","5ddb8f9f","24","2017","78","0.8","1.4","31","54","0","33","22","17","35.3","1615","0","18.7","0.18","0","55","47.6","0","1","0","576"
"Dante","defender","Nice","fd2bc67d","33","2017","80","2.4","0.7","7","90","2","261","32","10","80","6505","0","41.2","-0.03","1","214","60.8","1","0","0","1089"
"Darko LazoviД‡","forward","Genoa","5128bde4","26","2017","74","0.5","1.8","27","32","0","18","34","34","64.7","3018","0","18.4","0.27","0","71","33.3","0","0","1","676"
"David Alaba","defender","Bayern Munich","05439de2","25","2017","85","1.3","2.3","37","33","0","45","30","34","35.3","4048","0","41.5","1.6","0","85","46.9","1","0","0","625"
"David Silva","midfielder","Manchester City","e2716bd0","31","2017","89","7.2","8.1","43","50","0","22","140","49","77.6","11148","0","56.7","1.47","0","135","58.3","0","1","0","961"
"Davide Biraschi","defender","Genoa","64cd167d","23","2017","69","0.6","0.7","24","71","0","85","3","30","80","3598","0","22","0.02","0","111","54.2","1","0","0","529"
"Davide Calabria","defender","Milan","2146785a","20","2017","77","0.8","1.6","35","97","1","58","14","19","68.4","2537","0","24.9","0.47","0","102","54.8","1","0","0","400"
"Davide Zappacosta","forward","Chelsea","7fe90ccd","25","2017","79","1.4","1.6","33","32","0","20","45","37","37.8","3127","0","21.7","0.83","0","67","70","0","0","1","625"
"Davie Selke","forward","Hertha BSC","1238a3f9","22","2017","77","7.7","1.6","19","15","1","25","92","59","42.4","2101","0","29","0","0","34","49.5","0","0","1","484"
"Davinson SГЎnchez","defender","Tottenham","da7b447d","21","2017","84","0.5","0.3","6","76","0","146","12","9","100","4343","0","46.8","0.84","1","164","54.5","1","0","0","441"
"Dayot Upamecano","defender","RB Leipzig","d248cd8f","18","2017","76","1.1","0.9","17","112","1","133","15","19","68.4","5108","0","37.9","0.16","0","157","65.6","1","0","0","324"
"Declan Rice","forward","West Ham","1c7012b8","18","2017","69","0.2","0.1","9","63","1","91","4","3","66.7","2239","0","15.8","-0.56","0","72","47","0","0","1","324"
"Dele Alli","midfielder","Tottenham","cea4ee8f","21","2017","84","9.1","5.2","39","65","1","33","147","105","41.9","6773","0","54.1","0.87","0","181","36.4","0","1","0","441"
"Demarai Gray","midfielder","Leicester City","4468ec10","21","2017","76","2.5","2.7","29","28","1","13","57","63","60.3","4403","0","22.1","-0.2","0","99","17.2","0","1","0","441"
"Denis Zakaria","midfielder","M'Gladbach","384d58d9","20","2017","77","1.5","0.9","21","119","1","68","24","62","48.4","4038","0","36.7","-0.06","0","135","41.5","0","1","0","400"
"Dennis Geiger","midfielder","Hoffenheim","37f606f0","19","2017","70","1.9","1.5","11","67","0","18","17","24","41.7","2363","0","22.8","0.11","0","96","40","0","1","0","361"
"Dennis Praet","midfielder","Sampdoria","86695068","23","2017","76","2","3.1","45","122","0","23","61","84","69","6121","0","41.3","-0.15","0","200","31.3","0","1","0","529"
"Diego Demme","midfielder","RB Leipzig","dc3fa3b5","25","2017","79","0.5","2.5","39","129","0","44","12","26","53.8","7158","0","39.2","0.19","0","145","22.6","0","1","0","625"
"Diego GodГ­n","defender","AtlГ©tico Madrid","fc4f85b1","31","2017","90","1.9","0.6","6","109","1","212","42","7","85.7","3806","37","40.5","0.43","0","135","65.9","1","0","0","961"
"Diego Llorente","defender","Real Sociedad","bba30585","23","2017","76","2.3","0.2","10","73","0","140","23","18","88.9","6575","25","32.9","0.05","0","147","55.3","1","0","0","529"
"Dimitri LiГ©nard","midfielder","Strasbourg","f7691f63","29","2017","76","3.4","5.8","36","129","1","43","24","52","65.4","6443","28","39.1","-0.14","0","244","30","0","1","0","841"
"Dimitri Payet","midfielder","Marseille","58ae47b2","30","2017","84","8","12.8","28","41","1","4","78","57","78.9","7810","28","55.8","1.11","0","134","25","0","1","0","900"
"Divock Origi","forward","Wolfsburg","43a166b4","22","2017","77","7.2","1.9","17","9","0","19","88","60","48.3","2676","0","23.3","-0.69","0","46","41.7","0","0","1","484"
"Domenico Berardi","forward","Sassuolo","53a0e358","22","2017","78","8.9","4","50","48","1","18","81","58","62.1","4933","0","30.1","-0.02","0","116","32","0","0","1","484"
"Dominic Calvert-Lewin","forward","Everton","59e6e5bf","20","2017","74","4.9","1.3","19","25","1","22","77","43","48.8","2569","0","23.9","-0.24","0","65","44.2","0","0","1","400"
"Dominik Kohr","midfielder","Leverkusen","0fbecd11","23","2017","77","3.9","2","25","79","0","36","39","19","57.9","3038","0","29.8","0.44","0","86","37.9","0","1","0","529"
"Dominique Heintz","defender","KГ¶ln","699fb8db","23","2017","77","0.5","1.1","19","113","0","209","15","17","52.9","5274","0","40.2","-0.69","0","145","52.1","1","0","0","529"
"Douglas Luiz","midfielder","Girona","6f7d826d","19","2017","73","0.7","0.8","3","14","0","2","8","4","100","762","16","4.7","-0.79","0","24","33.3","0","1","0","361"
"Dries Mertens","forward","Napoli","89b2c8a9","30","2017","87","17.9","5.7","29","33","1","11","183","88","47.7","3877","0","58.1","1.06","0","67","11.1","0","0","1","900"
"DuvГЎn Zapata","forward","Sampdoria","d3de9af0","26","2017","79","9.7","2.7","30","17","1","23","125","54","51.9","3354","0","33.4","-0.19","0","61","45","0","0","1","676"
"Eden Hazard","forward","Chelsea","a39bb753","26","2017","91","7.7","7.4","32","9","0","1","162","200","82.5","10444","0","40.8","0.63","0","102","29.6","0","0","1","676"
"Edimilson Fernandes","forward","West Ham","3bb625ac","21","2017","71","0.3","0.3","9","33","0","7","10","13","76.9","1208","0","7","-1.2","0","49","38.5","0","0","1","441"
